attn_cue,left_ob,right_ob,congruent,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome.started,welcome.stopped,text_2.started,text_2.stopped,init_key_resp.keys,init_key_resp.rt,init_key_resp.started,init_key_resp.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,block_num,texter.started,texter.stopped,cross.started,cross.stopped,left_star.started,left_star.stopped,right_star.started,right_star.stopped,left_2.started,left_2.stopped,right_2.started,right_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Rand Tim,text.started,text.stopped,end.started,end.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,14.26971501018852,None,14.26971501018852,None,space,5.3001722460612655,14.26971501018852,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2022_Mar_30_1521,2-25_cond_decay,2021.2.3,166.63046274489258,
left,1.0,0.75,1,0,0,0,0,0,0,0,0,0,0,0,8,,,,,,,,,19.60232693189755,None,19.60232693189755,None,19.60232693189755,None,5s,22.391123310197145,23.391812318004668,23.379741713870317,None,24.379713675007224,28.149679797235876,24.379713675007224,28.149679797235876,28.149679797235876,None,28.149679797235876,None,space,0.6522139399312437,28.149679797235876,None,3.7668,28.82648437609896,None,,,,,,,002,001,2022_Mar_30_1521,2-25_cond_decay,2021.2.3,166.63046274489258,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,5s,29.827253377996385,30.828518013004214,30.816483030095696,None,31.815538323950022,36.743197018280625,31.815538323950022,36.743197018280625,36.743197018280625,None,36.743197018280625,None,space,0.3626348334364593,36.743197018280625,None,4.9248,37.117747590877116,None,,,,,,,002,001,2022_Mar_30_1521,2-25_cond_decay,2021.2.3,166.63046274489258,
right,0.75,1.0,1,0,0,0,0,0,0,0,0,0,2,2,9,,,,,,,,,,,,,,,5s,38.11925677489489,39.11896106088534,39.113290403969586,None,40.113198730163276,43.644439310301095,40.113198730163276,43.644439310301095,43.63911468395963,None,43.63911468395963,None,space,0.42678530514240265,43.63911468395963,None,3.5254,44.08296818425879,None,,,,,,,002,001,2022_Mar_30_1521,2-25_cond_decay,2021.2.3,166.63046274489258,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,3,3,4,,,,,,,,,,,,,,,5s,45.08700809394941,46.08860968891531,46.082713147159666,None,47.08211460523307,48.26926549524069,47.08211460523307,48.26926549524069,48.26279416726902,None,48.26279416726902,None,space,0.3870725678279996,48.26279416726902,None,1.1781,48.66300290124491,None,,,,,,,002,001,2022_Mar_30_1521,2-25_cond_decay,2021.2.3,166.63046274489258,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,4,4,3,,,,,,,,,,,,,,,5s,49.66959392512217,50.669997435994446,50.66429298790172,None,51.66397252306342,53.54851579898968,51.66397252306342,53.54851579898968,53.542029236909,None,53.542029236909,None,space,0.3158837133087218,53.542029236909,None,1.8751,53.8695387551561,None,,,,,,,002,001,2022_Mar_30_1521,2-25_cond_decay,2021.2.3,166.63046274489258,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,5,5,2,,,,,,,,,,,,,,,5s,54.87502723094076,55.87677289918065,55.87001894693822,None,56.86992458906025,60.05673819221556,56.86992458906025,60.05673819221556,60.050353846047074,None,60.050353846047074,None,space,0.2635593470185995,60.050353846047074,None,3.1786,60.331202077213675,None,,,,,,,002,001,2022_Mar_30_1521,2-25_cond_decay,2021.2.3,166.63046274489258,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,6,6,1,,,,,,,,,,,,,,,5s,61.330504320096225,62.33024497888982,62.32453937130049,None,63.32436027703807,64.35464450903237,63.32436027703807,64.35464450903237,64.35464450903237,None,64.35464450903237,None,space,0.287293900270015,64.35464450903237,None,1.0288,64.6621425980702,None,,,,,,,002,001,2022_Mar_30_1521,2-25_cond_decay,2021.2.3,166.63046274489258,
left,1.0,0.75,1,0,0,0,0,0,0,0,0,0,7,7,5,,,,,,,,,,,,,,,5s,65.6636316170916,66.66359957307577,66.65786171797663,None,67.65824679518119,70.02718668524176,67.65824679518119,70.02718668524176,70.02191735384986,None,70.02191735384986,None,space,0.39598303800448775,70.02191735384986,None,2.3656,70.43854433111846,None,,,,,,,002,001,2022_Mar_30_1521,2-25_cond_decay,2021.2.3,166.63046274489258,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,8,8,7,,,,,,,,,,,,,,,5s,71.4441689630039,72.44542915513739,72.43942922819406,None,73.43962292419747,78.34828433813527,73.43962292419747,78.34828433813527,78.34174735704437,None,78.34174735704437,None,space,0.3080893699079752,78.34174735704437,None,4.8987,78.66306116199121,None,,,,,,,002,001,2022_Mar_30_1521,2-25_cond_decay,2021.2.3,166.63046274489258,
