attn_cue,left_ob,right_ob,congruent,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome.started,welcome.stopped,text_2.started,text_2.stopped,init_key_resp.keys,init_key_resp.rt,init_key_resp.started,init_key_resp.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,block_num,texter.started,texter.stopped,cross.started,cross.stopped,left_star.started,left_star.stopped,right_star.started,right_star.stopped,left_2.started,left_2.stopped,right_2.started,right_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Rand Tim,text.started,text.stopped,end.started,end.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,11.780502340756357,None,11.780502340756357,None,space,1.0697797238826752,11.780502340756357,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003-1,001,2022_Apr_06_1523,2-25_cond_decay,2021.2.3,164.68656296418624,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,7,,,,,,,,,12.877873498015106,None,12.877873498015106,None,12.877873498015106,None,1s,13.950913431122899,14.951903280802071,14.946072599850595,None,15.946114589925855,16.441453422885388,15.946114589925855,16.441453422885388,16.434907042887062,None,16.434907042887062,None,space,0.3193736867979169,16.434907042887062,None,0.4883,16.780476505868137,None,,,,,,,003-1,001,2022_Apr_06_1523,2-25_cond_decay,2021.2.3,164.68656296418624,
right,0.75,1.0,1,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,1s,17.7704128138721,18.776397054083645,18.763395804911852,None,19.76380058284849,20.392681681085378,19.76380058284849,20.392681681085378,20.386232777033,None,20.386232777033,None,space,0.4160485379397869,20.386232777033,None,0.6199,20.823313804809004,None,,,,,,,003-1,001,2022_Apr_06_1523,2-25_cond_decay,2021.2.3,164.68656296418624,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,1s,21.83043154887855,22.83032605610788,22.824461856856942,None,23.82483601476997,24.448282323777676,23.82483601476997,24.448282323777676,24.441781269852072,None,24.441781269852072,None,space,0.29650975903496146,24.441781269852072,None,0.617,24.750648396089673,None,,,,,,,003-1,001,2022_Apr_06_1523,2-25_cond_decay,2021.2.3,164.68656296418624,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,3,3,4,,,,,,,,,,,,,,,1s,25.75111919408664,26.751832304988056,26.746092974673957,None,27.745107772760093,27.988370741717517,27.745107772760093,27.988370741717517,27.988370741717517,None,27.988370741717517,None,space,0.38991009490564466,27.988370741717517,None,0.2417,28.398338485043496,None,,,,,,,003-1,001,2022_Apr_06_1523,2-25_cond_decay,2021.2.3,164.68656296418624,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,4,4,9,,,,,,,,,,,,,,,1s,29.4006315828301,30.400159834884107,30.394367288798094,None,31.39423444774002,31.93323800712824,31.39423444774002,31.93323800712824,31.927802049089223,None,31.927802049089223,None,space,0.3304391880519688,31.927802049089223,None,0.5337,32.27157499874011,None,,,,,,,003-1,001,2022_Apr_06_1523,2-25_cond_decay,2021.2.3,164.68656296418624,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,5,5,8,,,,,,,,,,,,,,,1s,33.27774951374158,34.27890059677884,34.273072408977896,None,35.272267129737884,35.745374189689755,35.272267129737884,35.745374189689755,35.73991734767333,None,35.73991734767333,None,space,0.31036777468398213,35.73991734767333,None,0.4708,36.07155575603247,None,,,,,,,003-1,001,2022_Apr_06_1523,2-25_cond_decay,2021.2.3,164.68656296418624,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,6,6,5,,,,,,,,,,,,,,,1s,37.07240633200854,38.07284990372136,38.0660187699832,None,39.06625183112919,39.295750834047794,39.06625183112919,39.295750834047794,39.28931001806632,None,39.28931001806632,None,space,0.3609625240787864,39.28931001806632,None,0.2217,39.671843758784235,None,,,,,,,003-1,001,2022_Apr_06_1523,2-25_cond_decay,2021.2.3,164.68656296418624,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,7,7,6,,,,,,,,,,,,,,,1s,40.67296383297071,41.672344502061605,41.66654156288132,None,42.667003966867924,42.842095501720905,42.667003966867924,42.842095501720905,42.83543170010671,None,42.83543170010671,None,space,0.3587774457409978,42.83543170010671,None,0.1672,43.21623117104173,None,,,,,,,003-1,001,2022_Apr_06_1523,2-25_cond_decay,2021.2.3,164.68656296418624,
left,1.0,0.75,1,0,0,0,0,0,0,0,0,0,8,8,3,,,,,,,,,,,,,,,1s,44.2230354398489,45.22436403296888,45.21758807590231,None,46.21805996494368,47.12708804290742,46.21805996494368,47.12708804290742,47.12708804290742,None,47.12708804290742,None,space,0.3071553441695869,47.12708804290742,None,0.9074,47.446558081079274,None,,,,,,,003-1,001,2022_Apr_06_1523,2-25_cond_decay,2021.2.3,164.68656296418624,
