attn_cue,left_ob,right_ob,congruent,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome.started,welcome.stopped,text_2.started,text_2.stopped,init_key_resp.keys,init_key_resp.rt,init_key_resp.started,init_key_resp.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,block_num,texter.started,texter.stopped,cross.started,cross.stopped,left_star.started,left_star.stopped,right_star.started,right_star.stopped,left_2.started,left_2.stopped,right_2.started,right_2.stopped,key_resp.keys,key_resp.started,key_resp.stopped,Rand Tim,text.started,text.stopped,key_resp.rt,end.started,end.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,137.5262102119159,None,137.5262102119159,None,space,2.973508399911225,137.5262102119159,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEC004,001,2022_May_18_1431,2-25_cond_decay_EYE-try,2021.2.3,164.97306459079215,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,5,,,,,,,,,140.53225345094688,None,140.53225345094688,None,140.53225345094688,None,1s,145.26034479402006,146.26013515284285,146.25531536503695,None,147.25349748693407,148.13196670799516,147.25349748693407,148.13196670799516,148.13196670799516,149.1319135320373,148.13196670799516,149.1319135320373,None,148.13196670799516,149.1319135320373,0.8791,149.27358061191626,None,,,,,,,,DEC004,001,2022_May_18_1431,2-25_cond_decay_EYE-try,2021.2.3,164.97306459079215,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,1,1,8,,,,,,,,,,,,,,,1s,150.3145941158291,151.31467928295024,151.30761660682037,None,152.30780201288871,152.68339328397997,152.30780201288871,152.68339328397997,152.68339328397997,None,152.68339328397997,None,None,152.68339328397997,None,0.3747,153.80485795484856,None,,,,,,,,DEC004,001,2022_May_18_1431,2-25_cond_decay_EYE-try,2021.2.3,164.97306459079215,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,2,2,4,,,,,,,,,,,,,,,1s,154.8536767589394,155.85392624582164,155.84693395486102,None,156.8474810088519,157.1137184968684,156.8474810088519,157.1137184968684,157.10792354587466,None,157.10792354587466,None,space,157.10792354587466,None,0.2569,157.44141578790732,None,0.1837714361026883,,,,,,,DEC004,001,2022_May_18_1431,2-25_cond_decay_EYE-try,2021.2.3,164.97306459079215,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,1s,158.4844275729265,159.48321499489248,159.47935676481575,None,160.47770147793926,160.99323510588147,160.47770147793926,160.99323510588147,160.99323510588147,None,160.99323510588147,None,space,160.99323510588147,None,0.516,161.35653267381713,None,0.2264372210483998,,,,,,,DEC004,001,2022_May_18_1431,2-25_cond_decay_EYE-try,2021.2.3,164.97306459079215,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,4,4,7,,,,,,,,,,,,,,,1s,162.405793631915,163.40466507989913,163.3986222220119,None,164.39856335194781,164.9447630830109,164.39856335194781,164.9447630830109,164.9447630830109,None,164.9447630830109,None,space,164.9447630830109,None,0.5408,165.28541624592617,None,0.2109246370382607,,,,,,,DEC004,001,2022_May_18_1431,2-25_cond_decay_EYE-try,2021.2.3,164.97306459079215,
right,0.75,1.0,1,0,0,0,0,0,0,0,0,0,5,5,2,,,,,,,,,,,,,,,1s,166.3447919599712,167.34436481189914,167.3325983718969,None,168.33262554183602,168.8776942109689,168.33262554183602,168.8776942109689,168.8776942109689,None,168.8776942109689,None,space,168.8776942109689,None,0.5445,169.27333837398328,None,0.26198105490766466,,,,,,,DEC004,001,2022_May_18_1431,2-25_cond_decay_EYE-try,2021.2.3,164.97306459079215,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,1s,170.3262538430281,171.32653225283138,171.31357721891254,None,172.3135469048284,172.91946175997145,172.3135469048284,172.91946175997145,172.91946175997145,None,172.91946175997145,None,space,172.91946175997145,None,0.6016,173.3337445729412,None,0.28421384608373046,,,,,,,DEC004,001,2022_May_18_1431,2-25_cond_decay_EYE-try,2021.2.3,164.97306459079215,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,7,7,9,,,,,,,,,,,,,,,1s,174.3925932929851,175.39212430082262,175.38692356389947,None,176.3861821058672,176.8292285669595,176.3861821058672,176.8292285669595,176.82325973990373,None,176.82325973990373,None,space,176.82325973990373,None,0.434,177.30764735396951,None,0.34841250511817634,,,,,,,DEC004,001,2022_May_18_1431,2-25_cond_decay_EYE-try,2021.2.3,164.97306459079215,
left,1.0,0.75,1,0,0,0,0,0,0,0,0,0,8,8,0,,,,,,,,,,,,,,,1s,178.36270611081272,179.36284806393087,179.34974318393506,None,180.35035273898393,181.0543932018336,180.35035273898393,181.0543932018336,181.0482944729738,None,181.0482944729738,None,space,181.0482944729738,None,0.6981,181.39971340983175,None,0.21938224509358406,,,,,,,DEC004,001,2022_May_18_1431,2-25_cond_decay_EYE-try,2021.2.3,164.97306459079215,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,9,9,1,,,,,,,,,,,,,,,1s,182.45345190097578,183.452639675932,183.44664999982342,None,184.44655583403073,184.82888224581257,184.44655583403073,184.82888224581257,184.82276172190905,None,184.82276172190905,None,space,184.82276172190905,None,0.3728,185.35810497403145,None,0.40490988083183765,,,,,,,DEC004,001,2022_May_18_1431,2-25_cond_decay_EYE-try,2021.2.3,164.97306459079215,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,1,0,10,8,,,,,,,,,,,,,,,1s,186.4163462028373,187.41632431885228,187.41019793692976,None,188.41093777888454,188.71323796990328,188.41093777888454,188.71323796990328,188.71323796990328,None,188.71323796990328,None,space,188.71323796990328,None,0.3027,189.1570617579855,None,0.31443499797023833,,,,,,,DEC004,001,2022_May_18_1431,2-25_cond_decay_EYE-try,2021.2.3,164.97306459079215,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,1,1,11,1,,,,,,,,,,,,,,,1s,190.21648906497285,191.2166856629774,191.2110157420393,None,192.2105582258664,192.73231100896373,192.2105582258664,192.73231100896373,192.73231100896373,None,192.73231100896373,None,space,192.73231100896373,None,0.5205,193.13209485192783,None,0.26337470090948045,,,,,,,DEC004,001,2022_May_18_1431,2-25_cond_decay_EYE-try,2021.2.3,164.97306459079215,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,1,2,12,6,,,,,,,,,,,,,,,1s,194.186572851846,195.18647535401396,195.17458654893562,None,196.17437595897354,196.7736017589923,196.17437595897354,196.7736017589923,196.7736017589923,None,196.7736017589923,None,space,196.7736017589923,None,0.5994,197.13335919589736,None,0.23008018406108022,,,,,,,DEC004,001,2022_May_18_1431,2-25_cond_decay_EYE-try,2021.2.3,164.97306459079215,
left,1.0,0.75,1,0,0,0,0,0,0,0,0,1,3,13,0,,,,,,,,,,,,,,,1s,198.18678512983024,199.18622707901523,199.17985615390353,None,200.18005259684287,200.84187375591137,200.18005259684287,200.84187375591137,200.83582529891282,None,200.83582529891282,None,space,200.83582529891282,None,0.6583,201.1982572588604,None,0.22385120415128767,,,,,,,DEC004,001,2022_May_18_1431,2-25_cond_decay_EYE-try,2021.2.3,164.97306459079215,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,1,4,14,9,,,,,,,,,,,,,,,1s,202.2536147199571,203.2592871929519,203.24041318288073,None,204.24051073589362,205.0526709558908,204.24051073589362,205.0526709558908,205.0526709558908,None,205.0526709558908,None,space,205.0526709558908,None,0.8095,205.3329617988784,None,0.15100523200817406,,,,,,,DEC004,001,2022_May_18_1431,2-25_cond_decay_EYE-try,2021.2.3,164.97306459079215,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,1,5,15,7,,,,,,,,,,,,,,,1s,206.39262888790108,207.39287202898413,207.37967870687135,None,208.38030842598528,208.549287694972,208.38030842598528,208.549287694972,208.549287694972,None,208.549287694972,None,space,208.549287694972,None,0.1651,209.00418409495614,None,0.3263841599691659,,,,,,,DEC004,001,2022_May_18_1431,2-25_cond_decay_EYE-try,2021.2.3,164.97306459079215,
right,0.75,1.0,1,0,0,0,0,0,0,0,0,1,6,16,2,,,,,,,,,,,,,,,1s,210.06488398998044,211.06484580296092,211.05882838601246,None,212.05893112393096,212.8483799539972,212.05893112393096,212.8483799539972,212.84235662803985,None,212.84235662803985,None,space,212.84235662803985,None,0.784,213.19826819282025,None,0.2173204179853201,,,,,,,DEC004,001,2022_May_18_1431,2-25_cond_decay_EYE-try,2021.2.3,164.97306459079215,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,1,7,17,5,,,,,,,,,,,,,,,1s,214.2592550800182,215.25827870494686,215.24678809382021,None,216.24669526494108,216.8825127838645,216.24669526494108,216.8825127838645,216.8825127838645,None,216.8825127838645,None,space,216.8825127838645,None,0.6363,217.2786577329971,None,0.2651574080809951,,,,,,,DEC004,001,2022_May_18_1431,2-25_cond_decay_EYE-try,2021.2.3,164.97306459079215,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,1,8,18,4,,,,,,,,,,,,,,,1s,218.331404754892,219.33111268887296,219.3250925638713,None,220.3251159118954,220.88955150498077,220.3251159118954,220.88955150498077,220.88955150498077,None,220.88955150498077,None,space,220.88955150498077,None,0.5629,221.25278928200714,None,0.2261121110059321,,,,,,,DEC004,001,2022_May_18_1431,2-25_cond_decay_EYE-try,2021.2.3,164.97306459079215,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,1,9,19,3,,,,,,,,,,,,,,,1s,222.3127488018945,223.31301507889293,223.30710208485834,None,224.30096198082902,224.62177572585642,224.30096198082902,224.62177572585642,224.62177572585642,None,224.62177572585642,None,space,224.62177572585642,None,0.3182,225.00987450988032,None,0.25391402398236096,,,,,,,DEC004,001,2022_May_18_1431,2-25_cond_decay_EYE-try,2021.2.3,164.97306459079215,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEC004,001,2022_May_18_1431,2-25_cond_decay_EYE-try,2021.2.3,164.97306459079215,
left,0.75,1.0,0,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,225.90068172081374,None,225.90068172081374,None,225.90068172081374,None,10s,230.44009546982124,231.44096213090234,231.43613659893163,None,232.43490066891536,238.84056438785046,232.43490066891536,238.84056438785046,238.83463142602704,None,238.83463142602704,None,space,238.83463142602704,None,6.3961,239.29442600696348,None,0.3210386489517987,,,,,,,DEC004,001,2022_May_18_1431,2-25_cond_decay_EYE-try,2021.2.3,164.97306459079215,
right,0.75,1.0,1,0,0,0,0,1,0,1,0,0,1,1,9,,,,,,,,,,,,,,,10s,240.34940852294676,241.34892076300457,241.34317668899894,None,242.34373910492286,247.4942990290001,242.34373910492286,247.4942990290001,247.4942990290001,None,247.4942990290001,None,space,247.4942990290001,None,5.149,248.07068122783676,None,0.4373690520878881,,,,,,,DEC004,001,2022_May_18_1431,2-25_cond_decay_EYE-try,2021.2.3,164.97306459079215,
left,0.75,1.0,0,0,0,0,0,1,0,1,0,0,2,2,8,,,,,,,,,,,,,,,10s,249.12481930386275,250.1247094569262,250.11900272383355,None,251.1129126229789,256.3009503658395,251.1129126229789,256.3009503658395,256.3009503658395,None,256.3009503658395,None,space,256.3009503658395,None,5.1871,256.77495321491733,None,0.3427372928708792,,,,,,,DEC004,001,2022_May_18_1431,2-25_cond_decay_EYE-try,2021.2.3,164.97306459079215,
left,0.75,1.0,0,0,0,0,0,1,0,1,0,0,3,3,6,,,,,,,,,,,,,,,10s,257.829014607938,258.83370944997296,258.8215339498129,None,259.82217227783985,263.2281850320287,259.82217227783985,263.2281850320287,263.2281850320287,None,263.2281850320287,None,space,263.2281850320287,None,3.4009,263.67065082187764,None,0.30349238589406013,,,,,,,DEC004,001,2022_May_18_1431,2-25_cond_decay_EYE-try,2021.2.3,164.97306459079215,
right,1.0,0.75,0,0,0,0,0,1,0,1,0,0,4,4,3,,,,,,,,,,,,,,,10s,264.7182562488597,265.7190052238293,265.7072312599048,None,266.7062676360365,274.7182479868643,266.7062676360365,274.7182479868643,274.7182479868643,None,274.7182479868643,None,space,274.7182479868643,None,8.0119,275.1326457399409,None,0.28542080195620656,,,,,,,DEC004,001,2022_May_18_1431,2-25_cond_decay_EYE-try,2021.2.3,164.97306459079215,
