attn_cue,left_ob,right_ob,congruent,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome.started,welcome.stopped,text_2.started,text_2.stopped,init_key_resp.keys,init_key_resp.rt,init_key_resp.started,init_key_resp.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,block_num,texter.started,texter.stopped,cross.started,cross.stopped,left_star.started,left_star.stopped,right_star.started,right_star.stopped,left_2.started,left_2.stopped,right_2.started,right_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Rand Tim,text.started,text.stopped,end.started,end.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,223.50924996496178,None,223.50924996496178,None,space,2.162604729877785,223.50924996496178,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEC005,001,2022_May_18_1538,2-25_cond_decay_EYE-try,2021.2.3,168.12776993588744,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,225.69705902878195,None,225.69705902878195,None,225.69705902878195,None,5s,229.81282415194437,230.81815931387246,230.80571975093335,None,231.80588138988242,233.2976623508148,231.80588138988242,233.2976623508148,233.2917565368116,None,233.2917565368116,None,space,0.33196931099519134,233.2917565368116,None,1.4878,233.76987483585253,None,,,,,,,DEC005,001,2022_May_18_1538,2-25_cond_decay_EYE-try,2021.2.3,168.12776993588744,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,1,1,7,,,,,,,,,,,,,,,5s,234.80752685386688,235.81133719882928,235.8001772807911,None,236.79998283390887,238.7513982139062,236.79998283390887,238.7513982139062,238.7513982139062,None,238.7513982139062,None,space,0.3923340239562094,238.7513982139062,None,1.9508,239.2788668118883,None,,,,,,,DEC005,001,2022_May_18_1538,2-25_cond_decay_EYE-try,2021.2.3,168.12776993588744,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,5s,240.33482090290636,241.33920518495142,241.32660064683296,None,242.32718241098337,245.1150891939178,242.32718241098337,245.1150891939178,245.1150891939178,None,245.1150891939178,None,space,0.35663767415098846,245.1150891939178,None,2.7867,245.60557448887266,None,,,,,,,DEC005,001,2022_May_18_1538,2-25_cond_decay_EYE-try,2021.2.3,168.12776993588744,
right,0.75,1.0,1,0,0,0,0,0,0,0,0,0,3,3,5,,,,,,,,,,,,,,,5s,246.65372261987068,247.65383952390403,247.64773984695785,None,248.64806561078876,248.81804455979727,248.64806561078876,248.81804455979727,248.81804455979727,None,248.81804455979727,None,space,0.4376870500855148,248.81804455979727,None,0.1691,249.3930250359699,None,,,,,,,DEC005,001,2022_May_18_1538,2-25_cond_decay_EYE-try,2021.2.3,168.12776993588744,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,5s,250.4486076629255,251.44755386398174,251.44172045984305,None,252.44142464199103,253.53433172381483,252.44142464199103,253.53433172381483,253.52855740580708,None,253.52855740580708,None,space,0.5671832759398967,253.52855740580708,None,1.0905,254.2252566497773,None,,,,,,,DEC005,001,2022_May_18_1538,2-25_cond_decay_EYE-try,2021.2.3,168.12776993588744,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,5,5,8,,,,,,,,,,,,,,,5s,255.27809527586214,256.27802822995,256.27238953881897,None,257.2717655329034,258.867835562909,257.2717655329034,258.867835562909,258.867835562909,None,258.867835562909,None,space,0.33989022905007005,258.867835562909,None,1.5906,259.33923980081454,None,,,,,,,DEC005,001,2022_May_18_1538,2-25_cond_decay_EYE-try,2021.2.3,168.12776993588744,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,6,6,9,,,,,,,,,,,,,,,5s,260.3868431248702,261.387320793001,261.38164288178086,None,262.38150347582996,266.9142674638424,262.38150347582996,266.9142674638424,266.9142674638424,None,266.9142674638424,None,space,0.42947684903629124,266.9142674638424,None,4.5315,267.47343857586384,None,,,,,,,DEC005,001,2022_May_18_1538,2-25_cond_decay_EYE-try,2021.2.3,168.12776993588744,
left,1.0,0.75,1,0,0,0,0,0,0,0,0,0,7,7,2,,,,,,,,,,,,,,,5s,268.5220535087865,269.5209520838689,269.516088655917,None,270.51456305291504,271.81167622981593,270.51456305291504,271.81167622981593,271.81167622981593,None,271.81167622981593,None,space,0.9880473900120705,271.81167622981593,None,1.2963,272.93303295900114,None,,,,,,,DEC005,001,2022_May_18_1538,2-25_cond_decay_EYE-try,2021.2.3,168.12776993588744,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,8,8,1,,,,,,,,,,,,,,,5s,273.98678137082607,274.9874071038794,274.97507489589043,None,275.98078320082277,277.68558954796754,275.98078320082277,277.68558954796754,277.67886370397173,None,277.67886370397173,None,space,0.464876368874684,277.67886370397173,None,1.6986,278.27285786694847,None,,,,,,,DEC005,001,2022_May_18_1538,2-25_cond_decay_EYE-try,2021.2.3,168.12776993588744,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,9,9,6,,,,,,,,,,,,,,,5s,279.33267971896566,280.3321062917821,280.3200943779666,None,281.3206132799387,281.99402386695147,281.3206132799387,281.99402386695147,281.9883072718512,None,281.9883072718512,None,space,0.6754333060234785,281.9883072718512,None,0.6679,282.7947660058271,None,,,,,,,DEC005,001,2022_May_18_1538,2-25_cond_decay_EYE-try,2021.2.3,168.12776993588744,
right,0.75,1.0,1,0,0,0,0,0,0,0,0,1,0,10,5,,,,,,,,,,,,,,,5s,283.8538391718175,284.8531244059559,284.8470767659601,None,285.84804288391024,287.053307446884,285.84804288391024,287.053307446884,287.053307446884,None,287.053307446884,None,space,0.434422129066661,287.053307446884,None,1.204,287.618460417958,None,,,,,,,DEC005,001,2022_May_18_1538,2-25_cond_decay_EYE-try,2021.2.3,168.12776993588744,
left,1.0,0.75,1,0,0,0,0,0,0,0,0,1,1,11,2,,,,,,,,,,,,,,,5s,288.67153089796193,289.67145643988624,289.65910327178426,None,290.6591126639396,292.7259885368403,290.6591126639396,292.7259885368403,292.7259885368403,None,292.7259885368403,None,space,0.40975319989956915,292.7259885368403,None,2.0644,293.2668868037872,None,,,,,,,DEC005,001,2022_May_18_1538,2-25_cond_decay_EYE-try,2021.2.3,168.12776993588744,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,1,2,12,4,,,,,,,,,,,,,,,5s,294.3210535189137,295.3265655147843,295.3139409518335,None,296.31362675200216,300.0107574798167,296.31362675200216,300.0107574798167,300.0107574798167,None,300.0107574798167,None,space,0.38099625101312995,300.0107574798167,None,3.6938,300.52155717578717,None,,,,,,,DEC005,001,2022_May_18_1538,2-25_cond_decay_EYE-try,2021.2.3,168.12776993588744,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,1,3,13,3,,,,,,,,,,,,,,,5s,301.58018683292903,302.58029737486504,302.56890137982555,None,303.5689218668267,305.52001179778017,303.5689218668267,305.52001179778017,305.52001179778017,None,305.52001179778017,None,space,0.3597285009454936,305.52001179778017,None,1.9498,306.0167276598513,None,,,,,,,DEC005,001,2022_May_18_1538,2-25_cond_decay_EYE-try,2021.2.3,168.12776993588744,
