attn_cue,left_ob,right_ob,congruent,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome.started,welcome.stopped,text_2.started,text_2.stopped,init_key_resp.keys,init_key_resp.rt,init_key_resp.started,init_key_resp.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,block_num,texter.started,texter.stopped,cross.started,cross.stopped,left_star.started,left_star.stopped,right_star.started,right_star.stopped,left_2.started,left_2.stopped,right_2.started,right_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Rand Tim,text.started,text.stopped,end.started,end.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,140.34541306601022,None,140.34541306601022,None,space,2.955861679991358,140.34541306601022,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2022_Jun_29_1141,2-25_cond_decay_EYE-try,2021.2.3,166.13645051591405,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,143.325582141013,None,143.325582141013,None,143.325582141013,None,5s,148.12617727500037,149.12754528601363,149.11484103600378,None,150.11461895100365,154.93341411001165,150.11461895100365,154.93341411001165,154.93341411001165,None,154.93341411001165,None,space,0.5198082070128294,154.93341411001165,None,4.815,155.59288849201403,None,,,,,,,007,001,2022_Jun_29_1141,2-25_cond_decay_EYE-try,2021.2.3,166.13645051591405,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,1,1,6,,,,,,,,,,,,,,,5s,156.63632397500623,157.63641291600652,157.63033871600055,None,158.6296794580121,159.45275826701254,158.6296794580121,159.45275826701254,159.44689046801068,None,159.44689046801068,None,space,0.7263904670107877,159.44689046801068,None,0.8154,160.30203290301142,None,,,,,,,007,001,2022_Jun_29_1141,2-25_cond_decay_EYE-try,2021.2.3,166.13645051591405,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,2,2,8,,,,,,,,,,,,,,,5s,161.3562749900011,162.3575183540088,162.34493268901133,None,163.34488533000695,165.1995011310064,163.34488533000695,165.1995011310064,165.1995011310064,None,165.1995011310064,None,space,0.5656999259954318,165.1995011310064,None,1.8533,165.90122680300556,None,,,,,,,007,001,2022_Jun_29_1141,2-25_cond_decay_EYE-try,2021.2.3,166.13645051591405,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,5s,166.95555445300124,167.95685241601313,167.9510603020026,None,168.9446399610024,169.10923373200058,168.9446399610024,169.10923373200058,169.10923373200058,None,169.10923373200058,None,space,0.6799625319981715,169.10923373200058,None,0.1587,169.9257225580077,None,,,,,,,007,001,2022_Jun_29_1141,2-25_cond_decay_EYE-try,2021.2.3,166.13645051591405,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,4,4,7,,,,,,,,,,,,,,,5s,170.97421301800932,171.97555559201282,171.96296815200185,None,172.96332340801018,176.4908490300004,172.96332340801018,176.4908490300004,176.4908490300004,None,176.4908490300004,None,space,0.45036686898674816,176.4908490300004,None,3.5262,177.07679301401367,None,,,,,,,007,001,2022_Jun_29_1141,2-25_cond_decay_EYE-try,2021.2.3,166.13645051591405,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,5,5,3,,,,,,,,,,,,,,,5s,178.13292098500824,179.1326011580095,179.12657442800992,None,180.1268858780095,184.2893639660033,180.1268858780095,184.2893639660033,184.28263397300907,None,184.28263397300907,None,space,0.38661818599211983,184.28263397300907,None,4.1547,184.80434306101233,None,,,,,,,007,001,2022_Jun_29_1141,2-25_cond_decay_EYE-try,2021.2.3,166.13645051591405,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,6,6,4,,,,,,,,,,,,,,,5s,185.85381628100004,186.85416165500646,186.84801590901043,None,187.8483462639997,191.56810514901008,187.8483462639997,191.56810514901008,191.56128308401094,None,191.56128308401094,None,space,0.42000267599360086,191.56128308401094,None,3.7104,192.10871588501323,None,,,,,,,007,001,2022_Jun_29_1141,2-25_cond_decay_EYE-try,2021.2.3,166.13645051591405,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,7,7,2,,,,,,,,,,,,,,,5s,193.16229722600838,194.16341567500785,194.15674987100647,None,195.1570333000127,198.0050197380042,195.1570333000127,198.0050197380042,198.0050197380042,None,198.0050197380042,None,space,0.37618487200234085,198.0050197380042,None,2.8444,198.51353607900091,None,,,,,,,007,001,2022_Jun_29_1141,2-25_cond_decay_EYE-try,2021.2.3,166.13645051591405,
right,0.75,1.0,1,0,0,0,0,0,0,0,0,0,8,8,9,,,,,,,,,,,,,,,5s,199.56812711000384,200.56946354400134,200.55729807101307,None,201.55672474901075,203.0604469480022,201.55672474901075,203.0604469480022,203.0604469480022,None,203.0604469480022,None,space,0.5527750210021622,203.0604469480022,None,1.502,203.74953593700775,None,,,,,,,007,001,2022_Jun_29_1141,2-25_cond_decay_EYE-try,2021.2.3,166.13645051591405,
