attn_cue,left_ob,right_ob,congruent,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome.started,welcome.stopped,text_2.started,text_2.stopped,init_key_resp.keys,init_key_resp.rt,init_key_resp.started,init_key_resp.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,block_num,texter.started,texter.stopped,cross.started,cross.stopped,left_star.started,left_star.stopped,right_star.started,right_star.stopped,left_2.started,left_2.stopped,right_2.started,right_2.stopped,key_resp.keys,key_resp.started,key_resp.stopped,Rand Tim,text.started,text.stopped,key_resp.rt,end.started,end.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,39.24971309800003,None,39.24971309800003,None,space,3.782705296000131,39.24971309800003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEC008,001,2022_Jun_29_1729,2-25_cond_decay_EYE-try,2021.2.3,165.6226477452708,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,43.0558066399999,None,43.0558066399999,None,43.0558066399999,None,10s,45.86770563199934,46.86839382299968,46.86279258899958,51.38373123199926,47.86235674399995,50.39555710799959,47.86235674399995,50.39555710799959,50.38881293399936,None,50.38881293399936,None,None,50.38881293399936,None,2.5221,51.52243079599975,None,,,,,,,,DEC008,001,2022_Jun_29_1729,2-25_cond_decay_EYE-try,2021.2.3,165.6226477452708,
right,0.75,1.0,1,0,0,0,0,0,0,0,0,0,1,1,8,,,,,,,,,,,,,,,10s,52.564713209999354,53.56566826599919,53.5596894829996,None,54.559709520999604,63.01397045899921,54.559709520999604,63.01397045899921,63.01397045899921,None,63.01397045899921,None,space,63.01397045899921,None,8.4546,63.715348038999764,None,0.5623890959996061,,,,,,,DEC008,001,2022_Jun_29_1729,2-25_cond_decay_EYE-try,2021.2.3,165.6226477452708,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,10s,64.75791057399965,65.7594407229999,65.75345690099948,None,66.75342053999975,70.29887954399965,66.75342053999975,70.29887954399965,70.29887954399965,None,70.29887954399965,None,space,70.29887954399965,None,3.5455,70.9533398499998,None,0.5254802380004548,,,,,,,DEC008,001,2022_Jun_29_1729,2-25_cond_decay_EYE-try,2021.2.3,165.6226477452708,
left,1.0,0.75,1,0,0,0,0,0,0,0,0,0,3,3,5,,,,,,,,,,,,,,,10s,72.01352973899975,73.01378497399946,73.0080666240001,None,74.00139362999926,82.42587071599974,74.00139362999926,82.42587071599974,82.42587071599974,None,82.42587071599974,None,space,82.42587071599974,None,8.4214,83.158029059,None,0.5984940180005651,,,,,,,DEC008,001,2022_Jun_29_1729,2-25_cond_decay_EYE-try,2021.2.3,165.6226477452708,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,4,4,6,,,,,,,,,,,,,,,10s,84.20008894199964,85.2018177889995,85.19508348499949,None,86.19543979599985,87.56482185099958,86.19543979599985,87.56482185099958,87.56482185099958,None,87.56482185099958,None,space,87.56482185099958,None,1.3672,88.17577596999945,None,0.4755373529997087,,,,,,,DEC008,001,2022_Jun_29_1729,2-25_cond_decay_EYE-try,2021.2.3,165.6226477452708,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,5,5,7,,,,,,,,,,,,,,,10s,89.22622855499958,90.22535661999973,90.22535661999973,None,91.22601990799922,96.94518606899965,91.22601990799922,96.94518606899965,96.93957740699989,None,96.93957740699989,None,space,96.93957740699989,None,5.7152,97.50895114800005,None,0.4368530199999441,,,,,,,DEC008,001,2022_Jun_29_1729,2-25_cond_decay_EYE-try,2021.2.3,165.6226477452708,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,6,6,9,,,,,,,,,,,,,,,10s,98.5591466549995,99.5590241760001,99.5590241760001,None,100.55232048499965,107.10992154199994,100.55232048499965,107.10992154199994,107.10992154199994,None,107.10992154199994,None,space,107.10992154199994,None,6.5553,107.62568587899932,None,0.38644309300070745,,,,,,,DEC008,001,2022_Jun_29_1729,2-25_cond_decay_EYE-try,2021.2.3,165.6226477452708,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,7,7,3,,,,,,,,,,,,,,,10s,108.67906117999974,109.67945030299961,109.67387840299943,None,110.67344290299934,111.06746211799964,110.67344290299934,111.06746211799964,111.06746211799964,None,111.06746211799964,None,space,111.06746211799964,None,0.3913,111.76999796699965,None,0.5649006789999476,,,,,,,DEC008,001,2022_Jun_29_1729,2-25_cond_decay_EYE-try,2021.2.3,165.6226477452708,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,8,8,2,,,,,,,,,,,,,,,10s,112.82537465399946,113.8253451189994,113.819460531,None,114.81974023799921,124.327909611,114.81974023799921,124.327909611,124.327909611,None,124.327909611,None,space,124.327909611,None,9.5061,124.81811717399978,None,0.3524405640000623,,,,,,,DEC008,001,2022_Jun_29_1729,2-25_cond_decay_EYE-try,2021.2.3,165.6226477452708,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,9,9,1,,,,,,,,,,,,,,,10s,125.87265073699928,126.87323779799954,126.86745352199978,None,127.86717459899955,135.56483543600007,127.86717459899955,135.56483543600007,135.56483543600007,None,135.56483543600007,None,space,135.56483543600007,None,7.6956,136.10348097099995,None,0.41165135099981853,,,,,,,DEC008,001,2022_Jun_29_1729,2-25_cond_decay_EYE-try,2021.2.3,165.6226477452708,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,1,0,10,3,,,,,,,,,,,,,,,10s,137.16289507799956,138.16445259099964,138.15187915299975,None,139.15292349299943,148.8245311949995,139.15292349299943,148.8245311949995,148.8245311949995,None,148.8245311949995,None,None,148.8245311949995,None,9.6708,149.94619483799943,None,,,,,,,,DEC008,001,2022_Jun_29_1729,2-25_cond_decay_EYE-try,2021.2.3,165.6226477452708,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,1,1,11,2,,,,,,,,,,,,,,,10s,151.00575776200003,152.00679779299935,151.99424500999976,None,152.99483364499974,156.52777243199944,152.99483364499974,156.52777243199944,156.52777243199944,None,156.52777243199944,None,space,156.52777243199944,None,3.533,157.10984117099997,None,0.4485859439992055,,,,,,,DEC008,001,2022_Jun_29_1729,2-25_cond_decay_EYE-try,2021.2.3,165.6226477452708,
