attn_cue,left_ob,right_ob,congruent,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome.started,welcome.stopped,text_2.started,text_2.stopped,init_key_resp.keys,init_key_resp.rt,init_key_resp.started,init_key_resp.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,block_num,texter.started,texter.stopped,cross.started,cross.stopped,left_star.started,left_star.stopped,right_star.started,right_star.stopped,left_2.started,left_2.stopped,right_2.started,right_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Rand Tim,text.started,text.stopped,end.started,end.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,19.621834177989513,None,19.621834177989513,None,space,7.413011572964024,19.621834177989513,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEC009,001,2022_Jul_05_1518,2-25_cond_decay_EYE-try,2021.2.3,166.04517344565264,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,27.059237623994704,None,27.059237623994704,None,27.059237623994704,None,3s,29.894822033995297,30.895515276992228,30.883303099952172,None,31.883185905986466,34.0353515589959,31.883185905986466,34.0353515589959,34.0353515589959,None,34.0353515589959,None,space,0.631496642017737,34.0353515589959,None,2.1524,34.80317181296414,None,,,,,,,DEC009,001,2022_Jul_05_1518,2-25_cond_decay_EYE-try,2021.2.3,166.04517344565264,
right,0.75,1.0,1,0,0,0,0,0,0,0,0,0,1,1,7,,,,,,,,,,,,,,,3s,36.23404708597809,37.235481282987166,37.22871655895142,None,38.22876176296268,38.8998694740003,38.22876176296268,38.8998694740003,38.89446478098398,None,38.89446478098398,None,space,0.5803788300254382,38.89446478098398,None,0.663,39.59702197799925,None,,,,,,,DEC009,001,2022_Jul_05_1518,2-25_cond_decay_EYE-try,2021.2.3,166.04517344565264,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,2,2,9,,,,,,,,,,,,,,,3s,41.02262499695644,42.02247281098971,42.01672076800605,None,43.01650373800658,45.530662620963994,43.01650373800658,45.530662620963994,45.52423081896268,None,45.52423081896268,None,space,0.5266530649969354,45.52423081896268,None,2.5056,46.17299448698759,None,,,,,,,DEC009,001,2022_Jul_05_1518,2-25_cond_decay_EYE-try,2021.2.3,166.04517344565264,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,3s,47.603594119951595,48.60452147695469,48.598910317989066,None,49.59794030000921,49.7914305459708,49.59794030000921,49.7914305459708,49.7848286019871,None,49.7848286019871,None,space,0.5940215360024013,49.7848286019871,None,0.1839,50.50005463795969,None,,,,,,,DEC009,001,2022_Jul_05_1518,2-25_cond_decay_EYE-try,2021.2.3,166.04517344565264,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,3s,51.93087277695304,52.93142511998303,52.92586144595407,None,53.92526299797464,54.78002668300178,53.92526299797464,54.78002668300178,54.78002668300178,None,54.78002668300178,None,space,0.5028204889968038,54.78002668300178,None,0.8547,55.403146692959126,None,,,,,,,DEC009,001,2022_Jul_05_1518,2-25_cond_decay_EYE-try,2021.2.3,166.04517344565264,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,5,5,6,,,,,,,,,,,,,,,3s,56.83402030199068,57.83449508197373,57.828873575956095,None,58.82829545100685,60.53745662199799,58.82829545100685,60.53745662199799,60.530795175989624,None,60.530795175989624,None,space,0.5200026099919342,60.530795175989624,None,1.6982,61.17331123200711,None,,,,,,,DEC009,001,2022_Jul_05_1518,2-25_cond_decay_EYE-try,2021.2.3,166.04517344565264,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,6,6,8,,,,,,,,,,,,,,,3s,62.602769382996485,63.60466141300276,63.5917569079902,None,64.59208447195124,65.04059379000682,64.59208447195124,65.04059379000682,65.04059379000682,None,65.04059379000682,None,space,0.46625691797817126,65.04059379000682,None,0.4463,65.62700007698731,None,,,,,,,DEC009,001,2022_Jul_05_1518,2-25_cond_decay_EYE-try,2021.2.3,166.04517344565264,
left,1.0,0.75,1,0,0,0,0,0,0,0,0,0,7,7,5,,,,,,,,,,,,,,,3s,67.06351208995329,68.06514902296476,68.05239795596572,None,69.05269840097753,70.07724312698701,69.05269840097753,70.07724312698701,70.07724312698701,None,70.07724312698701,None,space,0.4695962899713777,70.07724312698701,None,1.0206,70.66972810495645,None,,,,,,,DEC009,001,2022_Jul_05_1518,2-25_cond_decay_EYE-try,2021.2.3,166.04517344565264,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,8,8,3,,,,,,,,,,,,,,,3s,72.11255965498276,73.1131642749533,73.10749040998053,None,74.10686778498348,77.02886579500046,74.10686778498348,77.02886579500046,77.02886579500046,None,77.02886579500046,None,space,0.3979804219561629,77.02886579500046,None,2.9169,77.54824143997394,None,,,,,,,DEC009,001,2022_Jul_05_1518,2-25_cond_decay_EYE-try,2021.2.3,166.04517344565264,
