attn_cue,left_ob,right_ob,congruent,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome.started,welcome.stopped,text_2.started,text_2.stopped,init_key_resp.keys,init_key_resp.rt,init_key_resp.started,init_key_resp.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,block_num,texter.started,texter.stopped,cross.started,cross.stopped,left_star.started,left_star.stopped,right_star.started,right_star.stopped,left_2.started,left_2.stopped,right_2.started,right_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Rand Tim,text.started,text.stopped,end.started,end.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,129.12116420501843,None,129.12116420501843,None,space,2.7482149329734966,129.12116420501843,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEC012,001,2022_Aug_22_1817,2-25_cond_decay_EYE-try,2021.2.3,118.76672161759438,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,131.89565957302693,None,131.89565957302693,None,131.89565957302693,None,5s,134.80316790007055,135.8047827850096,135.79650414502248,None,136.79663107299712,141.24629441206343,136.79663107299712,141.24629441206343,141.24629441206343,None,141.24629441206343,None,space,0.43903245602268726,141.24629441206343,None,4.4475,141.82825531403068,None,,,,,,,DEC012,001,2022_Aug_22_1817,2-25_cond_decay_EYE-try,2021.2.3,118.76672161759438,
left,1.0,0.75,1,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,5s,142.87087724998128,143.87146197096445,143.8634037419688,None,144.86322656006087,146.2466650090646,144.86322656006087,146.2466650090646,146.23864313901868,None,146.23864313901868,None,space,0.8706947939936072,146.23864313901868,None,1.3758,147.24575592996553,None,,,,,,,DEC012,001,2022_Aug_22_1817,2-25_cond_decay_EYE-try,2021.2.3,118.76672161759438,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,2,2,6,,,,,,,,,,,,,,,5s,148.29692509304732,149.29649739107117,149.288332747994,None,150.2885058070533,153.20448700804263,150.2885058070533,153.20448700804263,153.20448700804263,None,153.20448700804263,None,space,0.3928587019909173,153.20448700804263,None,2.916,153.7373876470374,None,,,,,,,DEC012,001,2022_Aug_22_1817,2-25_cond_decay_EYE-try,2021.2.3,118.76672161759438,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,3,3,4,,,,,,,,,,,,,,,5s,154.7954721429851,155.79662876506336,155.78865268803202,None,156.78825385600794,160.84630613401532,156.78825385600794,160.84630613401532,160.83815717301331,161.83826741797384,160.83815717301331,161.83826741797384,None,,160.83815717301331,161.83826741797384,4.0542,161.9789739419939,None,,,,,,,DEC012,001,2022_Aug_22_1817,2-25_cond_decay_EYE-try,2021.2.3,118.76672161759438,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,4,4,1,,,,,,,,,,,,,,,5s,163.02188132400624,164.02207629999612,164.0130857799668,None,165.01294511603191,167.36311426700559,165.01294511603191,167.36311426700559,167.36311426700559,None,167.36311426700559,None,space,0.26629881700500846,167.36311426700559,None,2.3516,167.76259753399063,None,,,,,,,DEC012,001,2022_Aug_22_1817,2-25_cond_decay_EYE-try,2021.2.3,118.76672161759438,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,5,5,7,,,,,,,,,,,,,,,5s,168.82044991396833,169.82144696905743,169.80496163701173,None,170.8049372290261,171.16349216899835,170.8049372290261,171.16349216899835,171.16349216899835,None,171.16349216899835,None,space,0.5618477900279686,171.16349216899835,None,0.3545,171.86238734505605,None,,,,,,,DEC012,001,2022_Aug_22_1817,2-25_cond_decay_EYE-try,2021.2.3,118.76672161759438,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,6,6,9,,,,,,,,,,,,,,,5s,172.91278296604287,173.91359703603666,173.90495500003453,None,174.90509782999288,179.05526496306993,174.90509782999288,179.05526496306993,179.04727839806583,None,179.04727839806583,None,space,0.518065206008032,179.04727839806583,None,4.1458,179.70357761904597,None,,,,,,,DEC012,001,2022_Aug_22_1817,2-25_cond_decay_EYE-try,2021.2.3,118.76672161759438,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,7,7,3,,,,,,,,,,,,,,,5s,180.7535831000423,181.75517879298422,181.74692122801207,None,182.74718466901686,187.62219482206274,182.74718466901686,187.62219482206274,187.61327056097798,None,187.61327056097798,None,space,0.4640711140818894,187.61327056097798,None,4.8703,188.21242339897435,None,,,,,,,DEC012,001,2022_Aug_22_1817,2-25_cond_decay_EYE-try,2021.2.3,118.76672161759438,
right,0.75,1.0,1,0,0,0,0,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,5s,189.2711455579847,190.27212768502068,190.26392717205454,None,191.26413722906727,195.3887517270632,191.26413722906727,195.3887517270632,195.38068647601176,None,195.38068647601176,None,space,0.3846508850110695,195.38068647601176,None,4.1199,195.90404847997706,None,,,,,,,DEC012,001,2022_Aug_22_1817,2-25_cond_decay_EYE-try,2021.2.3,118.76672161759438,
