attn_cue,left_ob,right_ob,congruent,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome.started,welcome.stopped,text_2.started,text_2.stopped,init_key_resp.keys,init_key_resp.rt,init_key_resp.started,init_key_resp.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,block_num,texter.started,texter.stopped,cross.started,cross.stopped,left_star.started,left_star.stopped,right_star.started,right_star.stopped,left_2.started,left_2.stopped,right_2.started,right_2.stopped,key_resp.keys,key_resp.started,key_resp.stopped,Rand Tim,text.started,text.stopped,key_resp.rt,end.started,end.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,107.02600465901196,None,107.02600465901196,None,space,2.8648584299953654,107.02600465901196,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEC013,001,2022_Aug_23_1327,2-25_cond_decay_EYE-try,2021.2.3,120.1773708384012,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,5,,,,,,,,,109.9172785920091,None,109.9172785920091,None,109.9172785920091,None,5s,116.50918609299697,117.51039294805378,117.4937252009986,None,118.49334103707224,119.8681769220857,118.49334103707224,119.8681769220857,119.8681769220857,None,119.8681769220857,None,None,119.8681769220857,None,1.3747,121.00122142198961,None,,,,,,,,DEC013,001,2022_Aug_23_1327,2-25_cond_decay_EYE-try,2021.2.3,120.1773708384012,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,5s,122.04270291409921,123.04328677302692,123.03528492001351,None,124.03562877199147,124.7517435210757,124.03562877199147,124.7517435210757,124.7517435210757,None,124.7517435210757,None,space,124.7517435210757,None,0.7151,125.37591520603746,None,0.483111580950208,,,,,,,DEC013,001,2022_Aug_23_1327,2-25_cond_decay_EYE-try,2021.2.3,120.1773708384012,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,2,2,9,,,,,,,,,,,,,,,5s,126.42531005304772,127.42733736603986,127.41827635699883,None,128.41914674302097,131.72702839109115,128.41914674302097,131.72702839109115,131.71899027109612,None,131.71899027109612,None,space,131.71899027109612,None,3.3034,132.1335599560989,None,0.2758115439210087,,,,,,,DEC013,001,2022_Aug_23_1327,2-25_cond_decay_EYE-try,2021.2.3,120.1773708384012,
left,1.0,0.75,1,0,0,0,0,0,0,0,0,0,3,3,7,,,,,,,,,,,,,,,5s,133.1858105380088,134.18519621307496,134.17707601608709,None,135.17715472599957,139.25199195509776,135.17715472599957,139.25199195509776,139.2432932939846,None,139.2432932939846,None,space,139.2432932939846,None,4.0697,139.7428285110509,None,0.36750709800980985,,,,,,,DEC013,001,2022_Aug_23_1327,2-25_cond_decay_EYE-try,2021.2.3,120.1773708384012,
right,0.75,1.0,1,0,0,0,0,0,0,0,0,0,4,4,1,,,,,,,,,,,,,,,5s,140.79429925302975,141.7939105820842,141.78574226703495,None,142.78580465202685,147.46899000101257,142.78580465202685,147.46899000101257,147.4608889130177,None,147.4608889130177,None,space,147.4608889130177,None,4.6761,147.9590915190056,None,0.3659128040308133,,,,,,,DEC013,001,2022_Aug_23_1327,2-25_cond_decay_EYE-try,2021.2.3,120.1773708384012,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,5,5,2,,,,,,,,,,,,,,,5s,149.009089166997,150.01112427306361,150.0019077199977,None,150.99371630209498,155.41058383404743,150.99371630209498,155.41058383404743,155.41058383404743,None,155.41058383404743,None,space,155.41058383404743,None,4.4139,155.85077143704984,None,0.3042367330053821,,,,,,,DEC013,001,2022_Aug_23_1327,2-25_cond_decay_EYE-try,2021.2.3,120.1773708384012,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,6,6,4,,,,,,,,,,,,,,,5s,156.90060618403368,157.9020389720099,157.89429020008538,None,158.8941427390091,160.2105854860274,158.8941427390091,160.2105854860274,160.2105854860274,None,160.2105854860274,None,space,160.2105854860274,None,1.3169,160.6860377350822,None,0.34427815303206444,,,,,,,DEC013,001,2022_Aug_23_1327,2-25_cond_decay_EYE-try,2021.2.3,120.1773708384012,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,7,7,8,,,,,,,,,,,,,,,5s,161.74415985599626,162.74401642999146,162.73599656508304,None,163.7354500060901,165.97715826903004,163.7354500060901,165.97715826903004,165.97715826903004,None,165.97715826903004,None,space,165.97715826903004,None,2.2399,166.38503967202269,None,0.2736790219787508,,,,,,,DEC013,001,2022_Aug_23_1327,2-25_cond_decay_EYE-try,2021.2.3,120.1773708384012,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,8,8,0,,,,,,,,,,,,,,,5s,167.4349281390896,168.43600916699506,168.43600916699506,None,169.43572766601574,169.79398677905556,169.43572766601574,169.79398677905556,169.79398677905556,None,169.79398677905556,None,space,169.79398677905556,None,0.3586,170.35131728404667,None,0.42483551299665123,,,,,,,DEC013,001,2022_Aug_23_1327,2-25_cond_decay_EYE-try,2021.2.3,120.1773708384012,
