attn_cue,left_ob,right_ob,congruent,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome.started,welcome.stopped,text_2.started,text_2.stopped,init_key_resp.keys,init_key_resp.rt,init_key_resp.started,init_key_resp.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,block_num,texter.started,texter.stopped,cross.started,cross.stopped,left_star.started,left_star.stopped,right_star.started,right_star.stopped,left_2.started,left_2.stopped,right_2.started,right_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Rand Tim,text.started,text.stopped,end.started,end.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,151.7514653741382,None,151.7514653741382,None,space,2.3029259219765663,151.7514653741382,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEC014,001,2022_Sep_08_1509,2-25_cond_decay_EYE-try,2021.2.3,120.19702185389359,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,6,,,,,,,,,154.0858088573441,None,154.0858088573441,None,154.0858088573441,None,1s,157.40274619217962,158.40271793305874,158.39459564117715,None,159.39487546822056,160.17809715121984,159.39487546822056,160.17809715121984,160.1703148339875,None,160.1703148339875,None,space,0.44410579884424806,160.1703148339875,None,0.7786,160.7523029251024,None,,,,,,,DEC014,001,2022_Sep_08_1509,2-25_cond_decay_EYE-try,2021.2.3,120.19702185389359,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,1,1,5,,,,,,,,,,,,,,,1s,162.17722128797323,163.1779972491786,163.1697718729265,None,164.17040824098513,164.9368252409622,164.17040824098513,164.9368252409622,164.9279438923113,None,164.9279438923113,None,space,0.43846745509654284,164.9279438923113,None,0.762,165.48664538608864,None,,,,,,,DEC014,001,2022_Sep_08_1509,2-25_cond_decay_EYE-try,2021.2.3,120.19702185389359,
right,0.75,1.0,1,0,0,0,0,0,0,0,0,0,2,2,7,,,,,,,,,,,,,,,1s,166.92758176615462,167.92772017233074,167.91970995813608,None,168.9198303031735,169.66937940008938,168.9198303031735,169.66937940008938,169.66937940008938,None,169.66937940008938,None,space,0.4250281620770693,169.66937940008938,None,0.7501,170.2186514530331,None,,,,,,,DEC014,001,2022_Sep_08_1509,2-25_cond_decay_EYE-try,2021.2.3,120.19702185389359,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,3,3,8,,,,,,,,,,,,,,,1s,171.65158149925992,172.6530432589352,172.64497820520774,None,173.6451881439425,174.02820403221995,173.6451881439425,174.02820403221995,174.0201720232144,175.0199913913384,174.0201720232144,175.0199913913384,None,,174.0201720232144,175.0199913913384,0.3775,175.15259669721127,None,,,,,,,DEC014,001,2022_Sep_08_1509,2-25_cond_decay_EYE-try,2021.2.3,120.19702185389359,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,4,4,1,,,,,,,,,,,,,,,1s,176.57707955595106,177.57824051892385,177.5702431462705,None,178.57007508026436,179.47885718103498,178.57007508026436,179.47885718103498,179.47885718103498,None,179.47885718103498,None,space,0.36754578491672873,179.47885718103498,None,0.909,179.97667609108612,None,,,,,,,DEC014,001,2022_Sep_08_1509,2-25_cond_decay_EYE-try,2021.2.3,120.19702185389359,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,5,5,0,,,,,,,,,,,,,,,1s,181.41067274613306,182.41125193424523,182.39486290095374,None,183.39502215525135,184.16959566809237,183.39502215525135,184.16959566809237,184.16959566809237,None,184.16959566809237,None,space,0.45281271869316697,184.16959566809237,None,0.7749,184.74386143730953,None,,,,,,,DEC014,001,2022_Sep_08_1509,2-25_cond_decay_EYE-try,2021.2.3,120.19702185389359,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,6,6,2,,,,,,,,,,,,,,,1s,186.19404075434431,187.1948798932135,187.1868248800747,None,188.1871729111299,188.70377806108445,188.1871729111299,188.70377806108445,188.69498411333188,189.69519033515826,188.69498411333188,189.69519033515826,None,,188.69498411333188,189.69519033515826,0.5113,189.81899374816567,None,,,,,,,DEC014,001,2022_Sep_08_1509,2-25_cond_decay_EYE-try,2021.2.3,120.19702185389359,
left,1.0,0.75,1,0,0,0,0,0,0,0,0,0,7,7,9,,,,,,,,,,,,,,,1s,191.25204855389893,192.25343841919675,192.24536761129275,None,193.24559187190607,194.12831794517115,193.24559187190607,194.12831794517115,194.12017098115757,None,194.12017098115757,None,space,0.6702296570874751,194.12017098115757,None,0.8803,194.91895834729075,None,,,,,,,DEC014,001,2022_Sep_08_1509,2-25_cond_decay_EYE-try,2021.2.3,120.19702185389359,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,8,8,3,,,,,,,,,,,,,,,1s,196.35211351234466,197.3537321742624,197.34475119505078,None,198.34533250005916,199.14565983228385,198.34533250005916,199.14565983228385,199.14565983228385,None,199.14565983228385,None,None,,199.14565983228385,None,0.7972,200.26113334391266,None,,,,,,,DEC014,001,2022_Sep_08_1509,2-25_cond_decay_EYE-try,2021.2.3,120.19702185389359,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,9,9,4,,,,,,,,,,,,,,,1s,201.68623366300017,202.68691601604223,202.6789121972397,None,203.67852252116427,203.94563519814983,203.67852252116427,203.94563519814983,203.93671645317227,None,203.93671645317227,None,space,0.4616969800554216,203.93671645317227,None,0.2617,204.52692179428414,None,,,,,,,DEC014,001,2022_Sep_08_1509,2-25_cond_decay_EYE-try,2021.2.3,120.19702185389359,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,1,0,10,4,,,,,,,,,,,,,,,1s,205.96076032193378,206.96201734011993,206.95402642292902,None,207.95361833134666,208.1539686662145,207.95361833134666,208.1539686662145,208.14527500234544,None,208.14527500234544,None,space,0.5091038239188492,208.14527500234544,None,0.1969,208.77716562105343,None,,,,,,,DEC014,001,2022_Sep_08_1509,2-25_cond_decay_EYE-try,2021.2.3,120.19702185389359,
left,1.0,0.75,1,0,0,0,0,0,0,0,0,1,1,11,9,,,,,,,,,,,,,,,1s,210.2112671281211,211.21252150600776,211.19521644618362,None,212.20390256121755,212.76251116022468,212.20390256121755,212.76251116022468,212.7536344123073,None,212.7536344123073,None,space,0.4607731709256768,212.7536344123073,None,0.5569,213.33527352800593,None,,,,,,,DEC014,001,2022_Sep_08_1509,2-25_cond_decay_EYE-try,2021.2.3,120.19702185389359,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,1,2,12,1,,,,,,,,,,,,,,,1s,214.76907097827643,215.77038771519437,215.76227619918063,None,216.76207732316107,217.6284011080861,216.76207732316107,217.6284011080861,217.62026120023802,None,217.62026120023802,None,space,0.3781564082019031,217.62026120023802,None,0.8596,218.1190928160213,None,,,,,,,DEC014,001,2022_Sep_08_1509,2-25_cond_decay_EYE-try,2021.2.3,120.19702185389359,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,1,3,13,5,,,,,,,,,,,,,,,1s,219.56078259414062,220.56196513725445,220.55396083928645,None,221.55383145296946,221.7542437161319,221.55383145296946,221.7542437161319,221.74549417709932,None,221.74549417709932,None,space,0.5328506636433303,221.74549417709932,None,0.1949,222.39596230909228,None,,,,,,,DEC014,001,2022_Sep_08_1509,2-25_cond_decay_EYE-try,2021.2.3,120.19702185389359,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,1,4,14,0,,,,,,,,,,,,,,,1s,223.835777182132,224.83713609119877,224.8291327310726,None,225.8289507171139,225.98756246408448,225.8289507171139,225.98756246408448,225.98756246408448,None,225.98756246408448,None,space,0.7228520549833775,225.98756246408448,None,0.1593,226.8359284242615,None,,,,,,,DEC014,001,2022_Sep_08_1509,2-25_cond_decay_EYE-try,2021.2.3,120.19702185389359,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,1,5,15,6,,,,,,,,,,,,,,,1s,228.27746490901336,229.27900685928762,229.26259977323934,None,230.26244751596823,231.12926826393232,230.26244751596823,231.12926826393232,231.12926826393232,None,231.12926826393232,None,space,0.30913373874500394,231.12926826393232,None,0.8615,231.56061190599576,None,,,,,,,DEC014,001,2022_Sep_08_1509,2-25_cond_decay_EYE-try,2021.2.3,120.19702185389359,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,1,6,16,8,,,,,,,,,,,,,,,1s,233.0026355870068,234.00429650209844,233.99519190425053,None,234.99606723617762,235.53706916235387,234.99606723617762,235.53706916235387,235.5290770321153,None,235.5290770321153,None,space,0.3252805736847222,235.5290770321153,None,0.5356,235.97091856133193,None,,,,,,,DEC014,001,2022_Sep_08_1509,2-25_cond_decay_EYE-try,2021.2.3,120.19702185389359,
right,0.75,1.0,1,0,0,0,0,0,0,0,0,1,7,17,7,,,,,,,,,,,,,,,1s,237.4035862009041,238.40444978605956,238.39532894222066,None,239.39590128418058,240.0535091883503,239.39590128418058,240.0535091883503,240.0535091883503,None,240.0535091883503,None,space,0.368894602637738,240.0535091883503,None,0.653,240.54433811921626,None,,,,,,,DEC014,001,2022_Sep_08_1509,2-25_cond_decay_EYE-try,2021.2.3,120.19702185389359,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,1,8,18,3,,,,,,,,,,,,,,,1s,241.9865833283402,242.98762796726078,242.9786429302767,None,243.98803287604824,244.5377560290508,243.98803287604824,244.5377560290508,244.52103901095688,None,244.52103901095688,None,space,0.3333242340013385,244.52103901095688,None,0.5431,244.97772555612028,None,,,,,,,DEC014,001,2022_Sep_08_1509,2-25_cond_decay_EYE-try,2021.2.3,120.19702185389359,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,1,9,19,2,,,,,,,,,,,,,,,1s,246.4031616570428,247.40376657433808,247.38710371917114,None,248.38762813713402,249.21200777310878,248.38762813713402,249.21200777310878,249.21200777310878,None,249.21200777310878,None,space,0.06639958033338189,249.21200777310878,None,0.8233,249.39535530703142,None,,,,,,,DEC014,001,2022_Sep_08_1509,2-25_cond_decay_EYE-try,2021.2.3,120.19702185389359,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEC014,001,2022_Sep_08_1509,2-25_cond_decay_EYE-try,2021.2.3,120.19702185389359,
right,1.0,0.75,0,0,0,0,0,1,0,1,0,0,0,0,6,,,,,,,,,250.30301147606224,None,250.30301147606224,None,250.30301147606224,None,5s,253.31301593920216,254.31206471892074,254.30404116213322,None,255.30374397989362,256.9121894640848,255.30374397989362,256.9121894640848,256.9121894640848,None,256.9121894640848,None,space,0.4142275867052376,256.9121894640848,None,1.6038,257.45292417518795,None,,,,,,,DEC014,001,2022_Sep_08_1509,2-25_cond_decay_EYE-try,2021.2.3,120.19702185389359,
