attn_cue,left_ob,right_ob,congruent,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome.started,welcome.stopped,text_2.started,text_2.stopped,init_key_resp.keys,init_key_resp.rt,init_key_resp.started,init_key_resp.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,block_num,texter.started,texter.stopped,cross.started,cross.stopped,left_star.started,left_star.stopped,right_star.started,right_star.stopped,left_2.started,left_2.stopped,right_2.started,right_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Rand Tim,text.started,text.stopped,end.started,end.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,126.18523908220232,None,126.18523908220232,None,space,2.4837736058980227,126.18523908220232,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEC015,001,2022_Oct_14_1520,2-25_cond_decay_EYE-try,2021.2.3,119.69974538067778,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,5,,,,,,,,,128.68668662849814,None,128.68668662849814,None,128.68668662849814,None,5s,132.5435403669253,133.54310548305511,133.53500180318952,None,134.53482906520367,138.9938795287162,134.53482906520367,138.9938795287162,138.9938795287162,None,138.9938795287162,None,space,0.28541671205312014,138.9938795287162,None,4.4563,139.41887811385095,None,,,,,,,DEC015,001,2022_Oct_14_1520,2-25_cond_decay_EYE-try,2021.2.3,119.69974538067778,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,5s,140.459745362401,141.46011083386838,141.45196813810617,None,142.451453814283,142.83517002128065,142.451453814283,142.83517002128065,142.82640349771827,None,142.82640349771827,None,space,0.6531713148579001,142.82640349771827,None,0.3779,143.60334454104304,None,,,,,,,DEC015,001,2022_Oct_14_1520,2-25_cond_decay_EYE-try,2021.2.3,119.69974538067778,
right,0.75,1.0,1,0,0,0,0,0,0,0,0,0,2,2,9,,,,,,,,,,,,,,,5s,144.65975906327367,145.65987722948194,145.65164921991527,None,146.65157776884735,150.30979086179286,146.65157776884735,150.30979086179286,150.30979086179286,None,150.30979086179286,None,space,0.30910858884453773,150.30979086179286,None,3.654,150.74370688945055,None,,,,,,,DEC015,001,2022_Oct_14_1520,2-25_cond_decay_EYE-try,2021.2.3,119.69974538067778,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,3,3,6,,,,,,,,,,,,,,,5s,151.8020448088646,152.80179912876338,152.79348468407989,None,153.79384571500123,157.90237051062286,153.79384571500123,157.90237051062286,157.90237051062286,None,157.90237051062286,None,space,0.31654403172433376,157.90237051062286,None,4.1036,158.35233105067164,None,,,,,,,DEC015,001,2022_Oct_14_1520,2-25_cond_decay_EYE-try,2021.2.3,119.69974538067778,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,4,4,1,,,,,,,,,,,,,,,5s,159.41069566830993,160.4109218949452,160.4017445584759,None,161.40270497836173,164.93538859300315,161.40270497836173,164.93538859300315,164.93538859300315,None,164.93538859300315,None,space,0.42705994937568903,164.93538859300315,None,3.532,165.49365018121898,None,,,,,,,DEC015,001,2022_Oct_14_1520,2-25_cond_decay_EYE-try,2021.2.3,119.69974538067778,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,5,5,0,,,,,,,,,,,,,,,5s,166.54396022763103,167.5436485670507,167.53547052387148,None,168.5357425129041,172.30229526385665,168.5357425129041,172.30229526385665,172.30229526385665,None,172.30229526385665,None,space,0.2693204693496227,172.30229526385665,None,3.7653,172.70251797139645,None,,,,,,,DEC015,001,2022_Oct_14_1520,2-25_cond_decay_EYE-try,2021.2.3,119.69974538067778,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,6,6,2,,,,,,,,,,,,,,,5s,173.75233227945864,174.75250800978392,174.74446902237833,None,175.7435065023601,178.89431629050523,175.7435065023601,178.89431629050523,178.89431629050523,None,178.89431629050523,None,space,0.2691571516916156,178.89431629050523,None,3.1485,179.2938597984612,None,,,,,,,DEC015,001,2022_Oct_14_1520,2-25_cond_decay_EYE-try,2021.2.3,119.69974538067778,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,5s,180.34440901037306,181.34420162905008,181.33584078401327,None,182.3352420227602,184.34353397600353,182.3352420227602,184.34353397600353,184.35239087231457,None,184.35239087231457,None,space,0.29178020264953375,184.35239087231457,None,2.0092,184.76912286877632,None,,,,,,,DEC015,001,2022_Oct_14_1520,2-25_cond_decay_EYE-try,2021.2.3,119.69974538067778,
left,1.0,0.75,1,0,0,0,0,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,5s,185.82773351483047,186.82761739380658,186.8187231142074,None,187.81900020036846,190.76055269967765,187.81900020036846,190.76055269967765,190.75203634332865,None,190.75203634332865,None,space,0.3007378429174423,190.75203634332865,None,2.9399,191.1786688445136,None,,,,,,,DEC015,001,2022_Oct_14_1520,2-25_cond_decay_EYE-try,2021.2.3,119.69974538067778,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,9,9,4,,,,,,,,,,,,,,,5s,192.235210028477,193.23613788373768,193.22686076536775,None,194.22687525022775,198.76094820071012,194.22687525022775,198.76094820071012,198.76094820071012,None,198.76094820071012,None,space,0.26703026983886957,198.76094820071012,None,4.5283,199.15265121869743,None,,,,,,,DEC015,001,2022_Oct_14_1520,2-25_cond_decay_EYE-try,2021.2.3,119.69974538067778,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,1,0,10,4,,,,,,,,,,,,,,,5s,200.21130974404514,201.21032918710262,201.20233919285238,None,202.2021667510271,206.91076831519604,202.2021667510271,206.91076831519604,206.91076831519604,None,206.91076831519604,None,space,0.277715596370399,206.91076831519604,None,4.7081,207.3194173304364,None,,,,,,,DEC015,001,2022_Oct_14_1520,2-25_cond_decay_EYE-try,2021.2.3,119.69974538067778,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,1,1,11,5,,,,,,,,,,,,,,,5s,208.36949871573597,209.36922253668308,209.36124378349632,None,210.36067551653832,211.98630179092288,210.36067551653832,211.98630179092288,211.98630179092288,None,211.98630179092288,None,space,0.40074601024389267,211.98630179092288,None,1.6176,212.51125159021467,None,,,,,,,DEC015,001,2022_Oct_14_1520,2-25_cond_decay_EYE-try,2021.2.3,119.69974538067778,
