attn_cue,left_ob,right_ob,congruent,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome.started,welcome.stopped,text_2.started,text_2.stopped,init_key_resp.keys,init_key_resp.rt,init_key_resp.started,init_key_resp.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,block_num,texter.started,texter.stopped,cross.started,cross.stopped,left_star.started,left_star.stopped,right_star.started,right_star.stopped,left_2.started,left_2.stopped,right_2.started,right_2.stopped,key_resp.keys,key_resp.started,key_resp.stopped,Rand Tim,text.started,text.stopped,key_resp.rt,end.started,end.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,529.2342743659974,None,529.2342743659974,None,space,4.52740479298518,529.2342743659974,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEC016,001,2022_Oct_28_1345,2-25_cond_decay_EYE-try,2021.2.3,119.41984787234422,
right,0.75,1.0,1,0,0,0,0,0,0,0,0,0,0,0,9,,,,,,,,,533.7849644850066,None,533.7849644850066,None,533.7849644850066,None,10s,538.3750406409963,539.3764651310048,539.3683385379845,None,540.3680393559916,545.6514080179913,540.3680393559916,545.6514080179913,545.6435816829908,546.6432695499971,545.6435816829908,546.6432695499971,None,545.6435816829908,546.6432695499971,5.277,546.783129738993,None,,,,,,,,DEC016,001,2022_Oct_28_1345,2-25_cond_decay_EYE-try,2021.2.3,119.41984787234422,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,10s,547.8257536579913,548.8262331789883,548.8179769359995,None,549.8176951069909,553.1183325980091,549.8176951069909,553.1183325980091,553.1183325980091,None,553.1183325980091,None,space,553.1183325980091,None,3.3004,553.8185898220108,None,0.5665693510090932,,,,,,,DEC016,001,2022_Oct_28_1345,2-25_cond_decay_EYE-try,2021.2.3,119.41984787234422,
left,1.0,0.75,1,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,10s,554.8754428570101,555.8761464399868,555.8679571860121,None,556.8680021739856,558.7760017930123,556.8680021739856,558.7760017930123,558.7760017930123,None,558.7760017930123,None,space,558.7760017930123,None,1.9051,559.4997792619979,None,0.5949509910133202,,,,,,,DEC016,001,2022_Oct_28_1345,2-25_cond_decay_EYE-try,2021.2.3,119.41984787234422,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,10s,560.5508594560088,561.5518561589997,561.5435370169871,None,562.543157209002,571.9271453469992,562.543157209002,571.9271453469992,571.9184431080066,None,571.9184431080066,None,space,571.9184431080066,None,9.378,572.6332134289842,None,0.5841343970096204,,,,,,,DEC016,001,2022_Oct_28_1345,2-25_cond_decay_EYE-try,2021.2.3,119.41984787234422,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,10s,573.6926035879878,574.6935403739917,574.6849135289958,None,575.6846466959978,584.2846299149969,575.6846466959978,584.2846299149969,584.2846299149969,None,584.2846299149969,None,space,584.2846299149969,None,8.5993,584.8017292059958,None,0.3927638129971456,,,,,,,DEC016,001,2022_Oct_28_1345,2-25_cond_decay_EYE-try,2021.2.3,119.41984787234422,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,10s,585.8583340939949,586.860490942985,586.8518727280025,None,587.8436329939868,592.5763297599915,587.8436329939868,592.5763297599915,592.5763297599915,None,592.5763297599915,None,space,592.5763297599915,None,4.7281,593.1928222650022,None,0.48475504099042155,,,,,,,DEC016,001,2022_Oct_28_1345,2-25_cond_decay_EYE-try,2021.2.3,119.41984787234422,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,6,6,7,,,,,,,,,,,,,,,10s,594.2423108090006,595.2431533380004,595.235792233987,None,596.2354813429993,597.459758766985,596.2354813429993,597.459758766985,597.451778771996,None,597.451778771996,None,space,597.451778771996,None,1.2196,598.0354591959913,None,0.4592757229984272,,,,,,,DEC016,001,2022_Oct_28_1345,2-25_cond_decay_EYE-try,2021.2.3,119.41984787234422,
right,0.75,1.0,1,0,0,0,0,0,0,0,0,0,7,7,1,,,,,,,,,,,,,,,10s,599.092264995008,600.093662706,600.0855186719855,None,601.0850357899908,604.01033701899,601.0850357899908,604.01033701899,604.01033701899,None,604.01033701899,None,space,604.01033701899,None,2.9224,604.6024634199857,None,0.46724575001280755,,,,,,,DEC016,001,2022_Oct_28_1345,2-25_cond_decay_EYE-try,2021.2.3,119.41984787234422,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,10s,605.6517538309854,606.6523290039913,606.6430663479841,None,607.643558560987,615.0441703120014,607.643558560987,615.0441703120014,615.0441703120014,None,615.0441703120014,None,space,615.0441703120014,None,7.4001,615.5601966590039,None,0.3913898979953956,,,,,,,DEC016,001,2022_Oct_28_1345,2-25_cond_decay_EYE-try,2021.2.3,119.41984787234422,
