attn_cue,left_ob,right_ob,congruent,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome.started,welcome.stopped,text_2.started,text_2.stopped,init_key_resp.keys,init_key_resp.rt,init_key_resp.started,init_key_resp.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,block_num,texter.started,texter.stopped,cross.started,cross.stopped,left_star.started,left_star.stopped,right_star.started,right_star.stopped,left_2.started,left_2.stopped,right_2.started,right_2.stopped,key_resp.keys,key_resp.started,key_resp.stopped,Rand Tim,text.started,text.stopped,key_resp.rt,end.started,end.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,411.24735839897767,None,411.24735839897767,None,space,2.9193324740044773,411.24735839897767,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEC019,001,2022_Nov_11_1340,2-25_cond_decay_EYE-try,2021.2.3,120.01439356575331,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,414.1890418869443,None,414.1890418869443,None,414.1890418869443,None,1s,416.7724284690339,417.77244106307626,417.7640378768556,None,418.7641463850159,419.63075308687985,418.7641463850159,419.63075308687985,419.63075308687985,None,419.63075308687985,None,None,419.63075308687985,None,0.8656,420.76414205902256,None,,,,,,,,DEC019,001,2022_Nov_11_1340,2-25_cond_decay_EYE-try,2021.2.3,120.01439356575331,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,1,1,7,,,,,,,,,,,,,,,1s,421.814122779062,422.8141254710499,422.8057718449272,None,423.8058267899323,424.3308099999558,423.8058267899323,424.3308099999558,424.3308099999558,None,424.3308099999558,None,None,424.3308099999558,None,0.5234,425.45452379994094,None,,,,,,,,DEC019,001,2022_Nov_11_1340,2-25_cond_decay_EYE-try,2021.2.3,120.01439356575331,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,1s,426.5058399338741,427.5057818379719,427.497436091071,None,428.497454067925,428.9558596019633,428.497454067925,428.9558596019633,428.9475143728778,None,428.9475143728778,None,space,428.9475143728778,None,0.4511,429.429563682992,None,0.34218920511193573,,,,,,,DEC019,001,2022_Nov_11_1340,2-25_cond_decay_EYE-try,2021.2.3,120.01439356575331,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,3,3,9,,,,,,,,,,,,,,,1s,430.48087232606485,431.48080834490247,431.47252737986855,None,432.4725504189264,433.33920829487033,432.4725504189264,433.33920829487033,433.33090445701964,None,433.33090445701964,None,space,433.33090445701964,None,0.8593,433.8142438689247,None,0.35052041593007743,,,,,,,DEC019,001,2022_Nov_11_1340,2-25_cond_decay_EYE-try,2021.2.3,120.01439356575331,
left,1.0,0.75,1,0,0,0,0,0,0,0,0,0,4,4,2,,,,,,,,,,,,,,,1s,434.87250586785376,435.872574019013,435.86420287005603,None,436.86426570103504,437.7892253140453,436.86426570103504,437.7892253140453,437.7892253140453,None,437.7892253140453,None,space,437.7892253140453,None,0.9237,438.62133521889336,None,0.7005414259620011,,,,,,,DEC019,001,2022_Nov_11_1340,2-25_cond_decay_EYE-try,2021.2.3,120.01439356575331,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,5,5,8,,,,,,,,,,,,,,,1s,439.6809789228719,440.6809881730005,440.67264199000783,None,441.672591536073,442.6226914660074,441.672591536073,442.6226914660074,442.61436158488505,None,442.61436158488505,None,space,442.61436158488505,None,0.943,443.0643515898846,None,0.3171995261218399,,,,,,,DEC019,001,2022_Nov_11_1340,2-25_cond_decay_EYE-try,2021.2.3,120.01439356575331,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,6,6,1,,,,,,,,,,,,,,,1s,444.12269730190746,445.12270103301853,445.11438334104605,None,446.11434674588963,446.7476694919169,446.11434674588963,446.7476694919169,446.7394020620268,None,446.7394020620268,None,space,446.7394020620268,None,0.6273,447.1810533669777,None,0.3108138679526746,,,,,,,DEC019,001,2022_Nov_11_1340,2-25_cond_decay_EYE-try,2021.2.3,120.01439356575331,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,7,7,6,,,,,,,,,,,,,,,1s,448.23934997804463,449.23934568394907,449.2310245700646,None,450.2310389659833,451.0143662339542,450.2310389659833,451.0143662339542,451.0143662339542,None,451.0143662339542,None,space,451.0143662339542,None,0.7823,451.39777080202475,None,0.25243981392122805,,,,,,,DEC019,001,2022_Nov_11_1340,2-25_cond_decay_EYE-try,2021.2.3,120.01439356575331,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,8,8,5,,,,,,,,,,,,,,,1s,452.4560471039731,453.4560524178669,453.4478033860214,None,454.44782022293657,455.41448784596287,454.44782022293657,455.41448784596287,455.40608430001885,None,455.40608430001885,None,space,455.40608430001885,None,0.9603,455.8048482830636,None,0.26724479789845645,,,,,,,DEC019,001,2022_Nov_11_1340,2-25_cond_decay_EYE-try,2021.2.3,120.01439356575331,
