attn_cue,left_ob,right_ob,congruent,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome.started,welcome.stopped,text_2.started,text_2.stopped,init_key_resp.keys,init_key_resp.rt,init_key_resp.started,init_key_resp.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,block_num,texter.started,texter.stopped,cross.started,cross.stopped,left_star.started,left_star.stopped,right_star.started,right_star.stopped,left_2.started,left_2.stopped,right_2.started,right_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Rand Tim,text.started,text.stopped,end.started,end.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,166.85139510314912,None,166.85139510314912,None,space,4.2045830730348825,166.85139510314912,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEC020,001,2022_Nov_11_1440,2-25_cond_decay_EYE-try,2021.2.3,120.12949089970363,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,171.07620308897458,None,171.07620308897458,None,171.07620308897458,None,1s,173.4188939910382,174.41987073607743,174.40261332201771,None,175.41155333793722,175.81114154099487,175.41155333793722,175.81114154099487,175.8033033311367,None,175.8033033311367,None,space,0.3587530718650669,175.8033033311367,None,0.3936,176.30128936702386,None,,,,,,,DEC020,001,2022_Nov_11_1440,2-25_cond_decay_EYE-try,2021.2.3,120.12949089970363,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,1,1,8,,,,,,,,,,,,,,,1s,177.35968711413443,178.36150521109812,178.34435083996505,None,179.34472418995574,179.9945048149675,179.34472418995574,179.9945048149675,179.9945048149675,None,179.9945048149675,None,space,0.27558268909342587,179.9945048149675,None,0.6512,180.4020099909976,None,,,,,,,DEC020,001,2022_Nov_11_1440,2-25_cond_decay_EYE-try,2021.2.3,120.12949089970363,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,2,2,9,,,,,,,,,,,,,,,1s,181.4604163269978,182.46174995508045,182.45254056411795,None,183.4526796869468,184.3776080161333,183.4526796869468,184.3776080161333,184.3776080161333,None,184.3776080161333,None,space,0.2860370159614831,184.3776080161333,None,0.923,184.7934667051304,None,,,,,,,DEC020,001,2022_Nov_11_1440,2-25_cond_decay_EYE-try,2021.2.3,120.12949089970363,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,1s,185.8519791739527,186.8533165170811,186.84442632994615,None,187.84486214793287,188.6867617580574,187.84486214793287,188.6867617580574,188.6867617580574,None,188.6867617580574,None,space,0.30149480188265443,188.6867617580574,None,0.8366,189.1182512419764,None,,,,,,,DEC020,001,2022_Nov_11_1440,2-25_cond_decay_EYE-try,2021.2.3,120.12949089970363,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,4,4,6,,,,,,,,,,,,,,,1s,190.1762854801491,191.17850700905547,191.16141311614774,None,192.161222133087,192.92833369015716,192.161222133087,192.92833369015716,192.92833369015716,None,192.92833369015716,None,space,0.2852610789705068,192.92833369015716,None,0.762,193.34299344406463,None,,,,,,,DEC020,001,2022_Nov_11_1440,2-25_cond_decay_EYE-try,2021.2.3,120.12949089970363,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,1s,194.402321892092,195.40340933110565,195.3944161310792,None,196.39521657512523,197.20304212300107,196.39521657512523,197.20304212300107,197.19428910198621,None,197.19428910198621,None,space,0.3094493020325899,197.19428910198621,None,0.8047,197.63523345906287,None,,,,,,,DEC020,001,2022_Nov_11_1440,2-25_cond_decay_EYE-try,2021.2.3,120.12949089970363,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,6,6,7,,,,,,,,,,,,,,,1s,198.686445617117,199.68638340500183,199.6783266540151,None,200.67857134714723,201.47864411701448,200.67857134714723,201.47864411701448,201.47864411701448,None,201.47864411701448,None,space,0.25848779804073274,201.47864411701448,None,0.7959,201.86898630694486,None,,,,,,,DEC020,001,2022_Nov_11_1440,2-25_cond_decay_EYE-try,2021.2.3,120.12949089970363,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,7,7,3,,,,,,,,,,,,,,,1s,202.91840071114711,203.92024661507457,203.91195596707985,None,204.90328542911448,205.07794291013852,204.90328542911448,205.07794291013852,205.07794291013852,None,205.07794291013852,None,space,0.4424854149110615,205.07794291013852,None,0.1689,205.65238397195935,None,,,,,,,DEC020,001,2022_Nov_11_1440,2-25_cond_decay_EYE-try,2021.2.3,120.12949089970363,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,8,8,4,,,,,,,,,,,,,,,1s,206.710193824023,207.71183890406974,207.70351429400034,None,208.7028129431419,208.9283622719813,208.7028129431419,208.9283622719813,208.9283622719813,None,208.9283622719813,None,space,0.3424966831225902,208.9283622719813,None,0.2259,209.40192692214623,None,,,,,,,DEC020,001,2022_Nov_11_1440,2-25_cond_decay_EYE-try,2021.2.3,120.12949089970363,
left,1.0,0.75,1,0,0,0,0,0,0,0,0,0,9,9,1,,,,,,,,,,,,,,,1s,210.4597915499471,211.46116215293296,211.45307499100454,None,212.45319301006384,213.26211375300772,212.45319301006384,213.26211375300772,213.26211375300772,None,213.26211375300772,None,space,0.7182826839853078,213.26211375300772,None,0.8073,214.11019498412497,None,,,,,,,DEC020,001,2022_Nov_11_1440,2-25_cond_decay_EYE-try,2021.2.3,120.12949089970363,
right,0.75,1.0,1,0,0,0,0,0,0,0,0,1,0,10,2,,,,,,,,,,,,,,,1s,215.16896860394627,216.1702314100694,216.16183357615955,None,217.1620330750011,217.63644268806092,217.1620330750011,217.63644268806092,217.63644268806092,None,217.63644268806092,None,space,0.5273015869315714,217.63644268806092,None,0.4741,218.2932484941557,None,,,,,,,DEC020,001,2022_Nov_11_1440,2-25_cond_decay_EYE-try,2021.2.3,120.12949089970363,
