attn_cue,left_ob,right_ob,congruent,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome.started,welcome.stopped,text_2.started,text_2.stopped,init_key_resp.keys,init_key_resp.rt,init_key_resp.started,init_key_resp.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,block_num,texter.started,texter.stopped,cross.started,cross.stopped,left_star.started,left_star.stopped,right_star.started,right_star.stopped,left_2.started,left_2.stopped,right_2.started,right_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Rand Tim,text.started,text.stopped,end.started,end.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,76.77320757880807,None,76.77320757880807,None,space,1.801413700915873,76.77320757880807,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEC022,001,2022_Dec_01_1809,2-25_cond_decay_EYE-try,2021.2.3,119.07289355383905,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,78.59766125911847,None,78.59766125911847,None,78.59766125911847,None,5s,83.24774672091007,84.24847375508398,84.2325405748561,None,85.23261828999966,87.83262623194605,85.23261828999966,87.83262623194605,87.83262623194605,None,87.83262623194605,None,space,0.44195856619626284,87.83262623194605,None,2.5928,88.4145560101606,None,,,,,,,DEC022,001,2022_Dec_01_1809,2-25_cond_decay_EYE-try,2021.2.3,119.07289355383905,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,5s,89.50648677395657,90.50687846215442,90.49844267917797,None,91.49951890390366,94.59922843892127,91.49951890390366,94.59922843892127,94.59922843892127,None,94.59922843892127,None,space,0.3587996787391603,94.59922843892127,None,3.0995,95.08121556090191,None,,,,,,,DEC022,001,2022_Dec_01_1809,2-25_cond_decay_EYE-try,2021.2.3,119.07289355383905,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,2,2,5,,,,,,,,,,,,,,,5s,96.14792700111866,97.14853565208614,97.13255823915824,None,98.13244507275522,100.54969428386539,98.13244507275522,100.54969428386539,100.54969428386539,None,100.54969428386539,None,space,0.4936433220282197,100.54969428386539,None,2.415,101.1722870809026,None,,,,,,,DEC022,001,2022_Dec_01_1809,2-25_cond_decay_EYE-try,2021.2.3,119.07289355383905,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,3,3,8,,,,,,,,,,,,,,,5s,102.26439572591335,103.26543991174549,103.25792219908908,None,104.25806188117713,105.86570320092142,104.25806188117713,105.86570320092142,105.85723705217242,None,105.85723705217242,None,space,0.5114645827561617,105.85723705217242,None,1.602,106.49759622011334,None,,,,,,,DEC022,001,2022_Dec_01_1809,2-25_cond_decay_EYE-try,2021.2.3,119.07289355383905,
left,1.0,0.75,1,0,0,0,0,0,0,0,0,0,4,4,9,,,,,,,,,,,,,,,5s,107.58903671009466,108.59047035174444,108.58248613914475,None,109.58203566912562,113.07383538875729,109.58203566912562,113.07383538875729,113.06617322890088,None,113.06617322890088,None,space,0.4332165620289743,113.06617322890088,None,3.4862,113.62471852498129,None,,,,,,,DEC022,001,2022_Dec_01_1809,2-25_cond_decay_EYE-try,2021.2.3,119.07289355383905,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,5,5,6,,,,,,,,,,,,,,,5s,114.72345345513895,115.72461538109928,115.71614021575078,None,116.71630696672946,117.76627051411197,116.71630696672946,117.76627051411197,117.76627051411197,None,117.76627051411197,None,space,0.46895461110398173,117.76627051411197,None,1.0429,118.36491963081062,None,,,,,,,DEC022,001,2022_Dec_01_1809,2-25_cond_decay_EYE-try,2021.2.3,119.07289355383905,
right,0.75,1.0,1,0,0,0,0,0,0,0,0,0,6,6,1,,,,,,,,,,,,,,,5s,119.45611958717927,120.45794674288481,120.44908061809838,None,121.44907817803323,125.64139789203182,121.44907817803323,125.64139789203182,125.63289803313091,None,125.63289803313091,None,space,0.4668365209363401,125.63289803313091,None,4.1853,126.22310320381075,None,,,,,,,DEC022,001,2022_Dec_01_1809,2-25_cond_decay_EYE-try,2021.2.3,119.07289355383905,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,7,7,2,,,,,,,,,,,,,,,5s,127.3228329657577,128.32409562496468,128.31615085713565,None,129.31651168689132,132.6246435251087,129.31651168689132,132.6246435251087,132.6246435251087,None,132.6246435251087,None,space,0.4025489240884781,132.6246435251087,None,3.3052,133.15701371105388,None,,,,,,,DEC022,001,2022_Dec_01_1809,2-25_cond_decay_EYE-try,2021.2.3,119.07289355383905,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,8,8,7,,,,,,,,,,,,,,,5s,134.21654847776517,135.21662917686626,135.20751487277448,None,136.20764855109155,136.58300044201314,136.20764855109155,136.58300044201314,136.58300044201314,None,136.58300044201314,None,space,0.6274592550471425,136.58300044201314,None,0.3724,137.34048033272848,None,,,,,,,DEC022,001,2022_Dec_01_1809,2-25_cond_decay_EYE-try,2021.2.3,119.07289355383905,
