attn_cue,left_ob,right_ob,congruent,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome.started,welcome.stopped,text_2.started,text_2.stopped,init_key_resp.keys,init_key_resp.rt,init_key_resp.started,init_key_resp.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,block_num,texter.started,texter.stopped,cross.started,cross.stopped,left_star.started,left_star.stopped,right_star.started,right_star.stopped,left_2.started,left_2.stopped,right_2.started,right_2.stopped,key_resp.keys,key_resp.started,key_resp.stopped,Rand Tim,text.started,text.stopped,key_resp.rt,end.started,end.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,319.3517476399429,None,319.3517476399429,None,space,1.9788693082518876,319.3517476399429,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEC024,001,2022_Dec_02_1535,2-25_cond_decay_EYE-try,2021.2.3,119.84302726361179,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,6,,,,,,,,,321.35151865379885,None,321.35151865379885,None,321.35151865379885,None,1s,324.7851228909567,325.7863762001507,325.77769646188244,None,326.7774525289424,326.93574372213334,326.7774525289424,326.93574372213334,326.93574372213334,None,326.93574372213334,None,None,326.93574372213334,None,0.1581,328.06824329681695,None,,,,,,,,DEC024,001,2022_Dec_02_1535,2-25_cond_decay_EYE-try,2021.2.3,119.84302726361179,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,1,1,9,,,,,,,,,,,,,,,1s,329.15207358216867,330.1531660761684,330.13562376378104,None,331.1356230219826,332.03637847909704,331.1356230219826,332.03637847909704,332.03637847909704,None,332.03637847909704,None,space,332.03637847909704,None,0.8995,332.52603985881433,None,0.35900686495006084,,,,,,,DEC024,001,2022_Dec_02_1535,2-25_cond_decay_EYE-try,2021.2.3,119.84302726361179,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,2,2,8,,,,,,,,,,,,,,,1s,333.6187583701685,334.619671091903,334.6107224961743,None,335.611624292098,335.94447773415595,335.611624292098,335.94447773415595,335.9367411509156,None,335.9367411509156,None,space,335.9367411509156,None,0.3285,336.443517588079,None,0.376859312877059,,,,,,,DEC024,001,2022_Dec_02_1535,2-25_cond_decay_EYE-try,2021.2.3,119.84302726361179,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,1s,337.53457276988775,338.5367263648659,338.5275646201335,None,339.5277601168491,340.0448483917862,339.5277601168491,340.0448483917862,340.0362076610327,None,340.0362076610327,None,space,340.0362076610327,None,0.512,340.54460160201415,None,0.38395143998786807,,,,,,,DEC024,001,2022_Dec_02_1535,2-25_cond_decay_EYE-try,2021.2.3,119.84302726361179,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,4,4,3,,,,,,,,,,,,,,,1s,341.64359931088984,342.64469091780484,342.63642410282046,None,343.6356939501129,343.8695308789611,343.6356939501129,343.8695308789611,343.86077652312815,None,343.86077652312815,None,space,343.86077652312815,None,0.2272,344.35256931884214,None,0.367363209836185,,,,,,,DEC024,001,2022_Dec_02_1535,2-25_cond_decay_EYE-try,2021.2.3,119.84302726361179,
right,0.75,1.0,1,0,0,0,0,0,0,0,0,0,5,5,0,,,,,,,,,,,,,,,1s,345.45320020476356,346.4534717509523,346.4441817891784,None,347.4448590069078,348.01965274475515,347.4448590069078,348.01965274475515,348.01965274475515,None,348.01965274475515,None,space,348.01965274475515,None,0.5702,348.5443915678188,None,0.4006789759732783,,,,,,,DEC024,001,2022_Dec_02_1535,2-25_cond_decay_EYE-try,2021.2.3,119.84302726361179,
left,1.0,0.75,1,0,0,0,0,0,0,0,0,0,6,6,4,,,,,,,,,,,,,,,1s,349.651686640922,350.6525868177414,350.63651987118647,None,351.6361983078532,352.1784361777827,351.6361983078532,352.1784361777827,352.1784361777827,None,352.1784361777827,None,space,352.1784361777827,None,0.5388,352.72831130214036,None,0.4257739670574665,,,,,,,DEC024,001,2022_Dec_02_1535,2-25_cond_decay_EYE-try,2021.2.3,119.84302726361179,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,1s,353.83553494280204,354.8359287767671,354.82018435094506,None,355.81967265484855,356.61100030876696,355.81967265484855,356.61100030876696,356.61100030876696,None,356.61100030876696,None,space,356.61100030876696,None,0.7871,357.13637332385406,None,0.40102312806993723,,,,,,,DEC024,001,2022_Dec_02_1535,2-25_cond_decay_EYE-try,2021.2.3,119.84302726361179,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,8,8,5,,,,,,,,,,,,,,,1s,358.22803035890684,359.22828480089083,359.220019062981,None,360.21929653873667,360.77810147497803,360.21929653873667,360.77810147497803,360.77810147497803,None,360.77810147497803,None,space,360.77810147497803,None,0.5572,361.2769474661909,None,0.3695443603210151,,,,,,,DEC024,001,2022_Dec_02_1535,2-25_cond_decay_EYE-try,2021.2.3,119.84302726361179,
