attn_cue,left_ob,right_ob,congruent,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome.started,welcome.stopped,text_2.started,text_2.stopped,init_key_resp.keys,init_key_resp.rt,init_key_resp.started,init_key_resp.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,block_num,texter.started,texter.stopped,cross.started,cross.stopped,left_star.started,left_star.stopped,right_star.started,right_star.stopped,left_2.started,left_2.stopped,right_2.started,right_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Rand Tim,text.started,text.stopped,end.started,end.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,414.7278069560416,None,414.7278069560416,None,space,5.486898107919842,414.7278069560416,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEC 025*,001,2022_Dec_02_1338,2-25_cond_decay_EYE-try,2021.2.3,119.23851544313774,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,420.23644056217745,None,420.23644056217745,None,420.23644056217745,None,5s,424.53005159599707,425.5288408338092,425.5214245398529,None,426.52102045714855,427.83779840217903,426.52102045714855,427.83779840217903,427.83779840217903,None,427.83779840217903,None,space,0.6361096818000078,427.83779840217903,None,1.3132,428.612005838193,None,,,,,,,DEC 025*,001,2022_Dec_02_1338,2-25_cond_decay_EYE-try,2021.2.3,119.23851544313774,
right,0.75,1.0,1,0,0,0,0,0,0,0,0,0,1,1,5,,,,,,,,,,,,,,,5s,429.7026603571139,430.7038660007529,430.68795417482033,None,431.6879346789792,432.3962286650203,431.6879346789792,432.3962286650203,432.3962286650203,None,432.3962286650203,None,space,0.7090311162173748,432.3962286650203,None,0.7037,433.23679933091626,None,,,,,,,DEC 025*,001,2022_Dec_02_1338,2-25_cond_decay_EYE-try,2021.2.3,119.23851544313774,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,2,2,7,,,,,,,,,,,,,,,5s,434.321439136751,435.32071626279503,435.312710552942,None,436.3129200958647,437.1460397997871,436.3129200958647,437.1460397997871,437.1460397997871,None,437.1460397997871,None,space,0.43446376314386725,437.1460397997871,None,0.8309,437.70446617808193,None,,,,,,,DEC 025*,001,2022_Dec_02_1338,2-25_cond_decay_EYE-try,2021.2.3,119.23851544313774,
left,1.0,0.75,1,0,0,0,0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,5s,438.80306714214385,439.8042772230692,439.7959804767743,None,440.7877793908119,445.4708347157575,440.7877793908119,445.4708347157575,445.4708347157575,None,445.4708347157575,None,space,0.5530094411224127,445.4708347157575,None,4.6764,446.15374034876004,None,,,,,,,DEC 025*,001,2022_Dec_02_1338,2-25_cond_decay_EYE-try,2021.2.3,119.23851544313774,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,4,4,9,,,,,,,,,,,,,,,5s,447.2444747760892,448.2461549830623,448.23788001714274,None,449.2384455278516,453.8874568771571,449.2384455278516,453.8874568771571,453.87989134015515,None,453.87989134015515,None,space,0.5188555349595845,453.87989134015515,None,4.6441,454.5282897967845,None,,,,,,,DEC 025*,001,2022_Dec_02_1338,2-25_cond_decay_EYE-try,2021.2.3,119.23851544313774,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,5,5,6,,,,,,,,,,,,,,,5s,455.61978005291894,456.6216295850463,456.6125321770087,None,457.61304082209244,460.879490389023,457.61304082209244,460.879490389023,460.879490389023,None,460.879490389023,None,space,0.5522143910638988,460.879490389023,None,3.2655,461.5611872840673,None,,,,,,,DEC 025*,001,2022_Dec_02_1338,2-25_cond_decay_EYE-try,2021.2.3,119.23851544313774,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,6,6,1,,,,,,,,,,,,,,,5s,462.6532668750733,463.6548283970915,463.64644086174667,None,464.6461731218733,466.51338461600244,464.6461731218733,466.51338461600244,466.5049268328585,None,466.5049268328585,None,space,0.4170560077764094,466.5049268328585,None,1.8629,467.0456040678546,None,,,,,,,DEC 025*,001,2022_Dec_02_1338,2-25_cond_decay_EYE-try,2021.2.3,119.23851544313774,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,7,7,4,,,,,,,,,,,,,,,5s,468.14509042399004,469.14592395117506,469.13847712799907,None,470.1380951027386,470.9043579129502,470.1380951027386,470.9043579129502,470.89685854595155,None,470.89685854595155,None,space,0.42567874770611525,470.89685854595155,None,0.7644,471.45381576102227,None,,,,,,,DEC 025*,001,2022_Dec_02_1338,2-25_cond_decay_EYE-try,2021.2.3,119.23851544313774,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,5s,472.5452326480299,473.54681651480496,473.538220515009,None,474.538286536932,475.0630571837537,474.538286536932,475.0630571837537,475.05434316117316,None,475.05434316117316,None,space,0.4431204036809504,475.05434316117316,None,0.5214,475.6291568488814,None,,,,,,,DEC 025*,001,2022_Dec_02_1338,2-25_cond_decay_EYE-try,2021.2.3,119.23851544313774,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,9,9,0,,,,,,,,,,,,,,,5s,476.72046242514625,477.7210848047398,477.7132120281458,None,478.7135186409578,480.82120479876176,478.7135186409578,480.82120479876176,480.82120479876176,None,480.82120479876176,None,space,0.4595829537138343,480.82120479876176,None,2.106,481.4123257561587,None,,,,,,,DEC 025*,001,2022_Dec_02_1338,2-25_cond_decay_EYE-try,2021.2.3,119.23851544313774,
